iso3	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
AFG	NA	NA	10	10	11	17	18	27	40	38	30	21	19	17	15	31	47	43	35	38	30	43	46	44	51	57	60	60	66	64	68	71	78	72	74	76	78	84	89	86	87	84	88
ALB	93	93	92	90	90	92	92	92	92	94	94	80	81	82	87	97	94	94	87	93	93	93	94	95	97	98	97	98	99	97	99	97	96	99	99	99	99	99	99	99	98	99	99
DZA	NA	NA	NA	NA	NA	86	88	93	96	96	99	98	97	95	93	93	94	94	95	97	97	97	98	98	98	98	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	98	98
AGO	NA	NA	NA	25	28	28	32	29	32	47	48	53	47	53	48	60	65	70	60	49	53	70	76	54	63	51	54	75	73	70	79	74	73	71	72	64	40	69	72	69	58	56	60
ARG	62	70	77	70	78	90	99	94	91	92	99	99	99	99	99	99	99	99	98	96	95	92	95	99	99	99	99	99	99	99	99	99	99	99	99	96	92	95	93	85	75	80	79
ARM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	88	84	83	84	82	72	95	93	97	96	97	92	96	94	91	94	98	99	95	96	96	99	99	99	99	99	99	99	99	98	98
AUT	90	90	90	90	90	90	90	90	90	90	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	69	74	77	76	76	77	79	82	81	83	82	83	82	82	86	88	92	95	98	99	98	98	98	98	98	97	97	96	94	95	96
BGD	NA	1	1	2	2	2	4	15	26	56	86	87	89	93	95	93	90	92	91	92	94	95	95	93	96	97	97	98	99	99	98	99	98	99	99	99	99	99	99	99	99	99	99
BLR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	95	93	94	96	97	98	99	99	99	99	99	99	99	99	99	98	98	98	99	99	98	99	98	97	98	98	98	97	97	98	98
BLZ	71	71	85	81	77	81	94	77	85	91	93	94	97	91	90	92	90	85	93	96	96	98	96	99	99	96	97	99	98	99	98	98	98	99	98	98	94	90	99	95	76	84	92
