"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
1.500713880E-1;-4.070762396E-1;-8.206582069E-2;-1.625108719E-1
1.677832410E-1;-2.529141903E-1;1.778512001E-1;1.499624252E-1
1.855191420E-1;1.108782291E-1;2.619174719E-1;-1.728239059E-1
2.032428970E-1;6.122267246E-2;6.371068954E-2;-3.280868530E-1
2.209665910E-1;-2.778458595E-1;-8.877122402E-2;-7.955265045E-2
2.386906510E-1;-2.334347963E-1;-2.733337879E-2;-5.593299866E-3
2.564148330E-1;8.636200428E-2;-3.656625748E-2;-1.198301315E-1
2.741414560E-1;-1.951792240E-1;-7.072093487E-1;5.727958679E-2
2.918624650E-1;-5.937000513E-1;-9.324853420E-1;-1.632175446E-1
3.095859760E-1;-8.553753495E-1;-9.212203026E-1;-6.523113251E-1
3.273100360E-1;-1.064683199E0;-1.454933643E0;-1.326236725E0
3.450340350E-1;-1.364256620E0;-2.370600224E0;-2.204307079E0
3.627549210E-1;-2.000339270E0;-3.143306017E0;-3.315693855E0
3.804703140E-1;-2.164631128E0;-3.141237736E0;-4.050820827E0
3.982056660E-1;-1.789494634E0;-2.845651627E0;-3.846214294E0
4.159296650E-1;-1.017008305E0;-2.514436960E0;-2.728770256E0
4.336533590E-1;-2.189927101E-1;-2.395903587E0;-1.266806602E0
4.513772960E-1;9.087800980E-1;-2.144263506E0;1.790332794E-2
4.691011730E-1;2.165412903E0;-1.668696642E0;6.746912003E-1
4.868249890E-1;2.286728382E0;-1.687808514E0;6.448121071E-1
5.045488660E-1;1.764285564E0;-1.357339382E0;1.038935661E0
5.222763440E-1;2.079348564E0;-4.342989922E-1;2.635711670E0
5.399966810E-1;2.675592422E0;4.899873734E-1;3.619851589E0
5.577204970E-1;3.121838093E0;1.053327560E0;2.694736958E0
5.754473640E-1;3.122421265E0;1.041849613E0;8.307209015E-1
5.931684950E-1;1.920806885E0;1.281938553E-1;9.614849091E-2
6.108892590E-1;1.437716007E0;3.028712273E-1;3.773846626E-1
6.286162490E-1;1.695720673E0;1.098203182E0;1.087460041E0
6.463301770E-1;1.736954689E0;1.841507912E0;1.315697193E0
6.640660780E-1;8.162536621E-1;2.171823502E0;8.240847588E-1
6.817881240E-1;1.608009338E-1;1.784940243E0;2.085560322E0
6.995109020E-1;-9.102740288E-1;1.018113136E0;1.383286476E0
7.172356950E-1;-1.233174801E0;1.754465103E-1;1.973812580E0
7.349478530E-1;-7.204880714E-1;5.926151276E-1;1.211647272E0
7.526848520E-1;6.807799339E-1;1.664098740E0;9.850113392E-1
7.704073260E-1;8.861093521E-1;2.053555965E0;9.842565060E-1
7.881293720E-1;-6.077480316E-2;1.596291065E0;1.212382555E0
8.058550190E-1;-1.446983814E0;-2.132539749E-1;1.462919474E0
8.235788960E-1;-2.133214474E0;-1.596738338E0;8.893463612E-1
8.413028340E-1;-5.901780128E-1;-7.182545662E-1;-4.075253010E-1
8.590268940E-1;8.074517250E-1;-4.332304001E-2;-8.793601990E-1
8.767511980E-1;2.439451218E-1;-5.313816071E-1;-1.666803360E-1
8.944747090E-1;-5.755391121E-1;-5.377440453E-1;6.548509598E-1
9.121960830E-1;-8.710775375E-1;-1.860485077E-1;1.000605345E0
9.299253930E-1;-5.805430412E-1;2.469191551E-1;9.212856293E-1
9.476462170E-1;-3.910722733E-1;1.099322796E0;6.004581451E-1
9.653670420E-1;-5.157537460E-1;1.349513054E0;1.289677620E-1
9.830940930E-1;-1.259890556E0;7.557711601E-1;2.172977924E-1
1.000818153E0;-1.351360798E0;5.418338776E-1;5.667202473E-1
1.018530373E0;-2.838587761E-1;1.097555637E0;8.785216808E-1
1.036265724E0;4.228134155E-1;1.121636868E0;6.332747936E-1
1.053989845E0;-3.479733467E-1;2.675538063E-1;5.803704262E-2
1.071713661E0;-9.301710129E-1;-9.457826614E-2;-1.258800030E-1
1.089437538E0;-8.490567207E-1;4.744148254E-2;4.154267311E-1
1.107161537E0;-3.032650948E-1;1.810441017E-1;6.231405735E-1
1.124882851E0;-8.157157898E-2;-3.835558891E-1;4.423046112E-1
1.142609230E0;2.363648415E-1;-9.777812958E-1;-4.643788338E-1
1.160333351E0;8.310632706E-1;-7.998604774E-1;-1.355887294E0
1.178054176E0;1.104186535E0;-7.059354782E-1;-1.708632708E0
1.195781105E0;3.841142654E-1;-6.967968941E-1;-1.373498440E0
1.213493263E0;-4.344077110E-1;-5.851535797E-1;-6.244630814E-1
1.231231788E0;-7.508468628E-1;-2.902956009E-1;-1.401939392E-1
1.248952980E0;-5.023241043E-1;-9.906816483E-2;8.251166344E-2
1.266675575E0;-2.441530228E-1;2.237801552E-1;1.408822536E-1
1.284400185E0;-1.568384171E-1;4.098486900E-1;-1.454963684E-1
1.302120888E0;-5.133385658E-1;6.882476807E-2;-4.967710972E-1
1.319848122E0;-1.205675602E0;-4.603743553E-1;-5.516407490E-1
1.337572304E0;-1.771593571E0;-7.264828682E-1;-4.364800453E-1
1.355295815E0;-1.658338547E0;-7.325005531E-1;-6.945238113E-1
1.373020119E0;-8.676218987E-1;2.317762375E-2;-1.550826073E0
1.390740517E0;-2.804203033E-1;1.265723705E0;-2.376294374E0
1.408468178E0;1.853065491E-1;1.289865971E0;-2.246664047E0
1.426195168E0;3.762035370E-1;2.961802483E-1;-9.065110683E-1
1.443912697E0;-2.684259415E-2;-3.564519882E-1;1.312823296E-1
