"property";"value"
"version";"1.1.16"
"build";"1011602"
"fileFormat";"1.18"
"deviceModel";"Pixel 6"
"deviceBrand";"google"
"deviceBoard";"oriole"
"deviceManufacturer";"Google"
"deviceBaseOS";""
"deviceCodename";"REL"
"deviceRelease";"14"
"depthFrontSensor";"0"
"depthFrontResolution";"null"
"depthFrontRate";"null"
"depthBackSensor";"0"
"depthBackResolution";"null"
"depthBackRate";"null"
"accelerometer Name";"LSM6DSR Accelerometer"
"accelerometer Vendor";"STMicro"
"accelerometer Range";"156.9064"
"accelerometer Resolution";"0.0047856453"
"accelerometer MinDelay";"2404"
"accelerometer MaxDelay";"615385"
"accelerometer Power";"0.001"
"accelerometer Version";"1"
"linear_acceleration Name";"Linear Acceleration Sensor"
"linear_acceleration Vendor";"Google"
"linear_acceleration Range";"156.96"
"linear_acceleration Resolution";"1.0E-5"
"linear_acceleration MinDelay";"20000"
"linear_acceleration MaxDelay";"200000"
"linear_acceleration Power";"0.001"
"linear_acceleration Version";"1"
"gravity Name";"Gravity Sensor"
"gravity Vendor";"Google"
"gravity Range";"9.81"
"gravity Resolution";"1.0E-5"
"gravity MinDelay";"5000"
"gravity MaxDelay";"200000"
"gravity Power";"0.001"
"gravity Version";"1"
"gyroscope Name";"LSM6DSR Gyroscope"
"gyroscope Vendor";"STMicro"
"gyroscope Range";"34.906063"
"gyroscope Resolution";"0.0012217305"
"gyroscope MinDelay";"2404"
"gyroscope MaxDelay";"615385"
"gyroscope Power";"0.001"
"gyroscope Version";"1"
"magnetic_field Name";"MMC56X3X Magnetometer"
"magnetic_field Vendor";"MEMSIC"
"magnetic_field Range";"3198.1567"
"magnetic_field Resolution";"0.0976"
"magnetic_field MinDelay";"10000"
"magnetic_field MaxDelay";"800000"
"magnetic_field Power";"0.001"
"magnetic_field Version";"1"
"pressure Name";"ICP10101 Pressure Sensor"
"pressure Vendor";"InvenSense"
"pressure Range";"1100.0"
"pressure Resolution";"1.0E-4"
"pressure MinDelay";"20000"
"pressure MaxDelay";"10000000"
"pressure Power";"0.001"
"pressure Version";"1"
"light Name";"TMD3719 Ambient Light"
"light Vendor";"AMS"
"light Range";"1000000.0"
"light Resolution";"0.01"
"light MinDelay";"0"
"light MaxDelay";"1000000"
"light Power";"0.001"
"light Version";"1"
"proximity Name";"TMD3719 Proximity (wake-up)"
"proximity Vendor";"AMS"
"proximity Range";"5.0"
"proximity Resolution";"1.0"
"proximity MinDelay";"0"
"proximity MaxDelay";"1000000"
"proximity Power";"0.001"
"proximity Version";"1"
"temperature Name";"LSM6DSR Temperature"
"temperature Vendor";"STMicro"
"temperature Range";"85.0"
"temperature Resolution";"0.00390625"
"temperature MinDelay";"19231"
"temperature MaxDelay";"615385"
"temperature Power";"0.001"
"temperature Version";"1"
"humidity Name";"null"
"humidity Vendor";"null"
"humidity Range";"null"
"humidity Resolution";"null"
"humidity MinDelay";"null"
"humidity MaxDelay";"null"
"humidity Power";"null"
"humidity Version";"null"
"attitude Name";"Rotation Vector Sensor"
"attitude Vendor";"Google"
"attitude Range";"1.0"
"attitude Resolution";"1.0E-5"
"attitude MinDelay";"5000"
"attitude MaxDelay";"200000"
"attitude Power";"0.001"
"attitude Version";"1"
