"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
-2.558666631E-3;-3.265609131E0;7.583829346E0;5.339396667E0
7.403333322E-3;-3.116519165E0;7.535330200E0;5.378764801E0
1.736433338E-2;-2.513722687E0;7.382498016E0;6.071673889E0
2.732633334E-2;-1.832040253E0;7.407795410E0;7.018904114E0
3.728833329E-2;-1.243763580E0;7.636070709E0;7.795189819E0
4.724933335E-2;-6.496490479E-1;7.813002777E0;8.025111694E0
5.721133330E-2;-3.668870544E-1;7.868686981E0;7.818241882E0
6.717233337E-2;-4.974156189E-1;7.890541534E0;7.576195221E0
7.713433332E-2;-9.098080444E-1;7.684569855E0;7.284302216E0
8.709633339E-2;-1.807341614E0;7.092401276E0;7.431446228E0
9.705733333E-2;-2.781815186E0;6.674620056E0;7.839647369E0
1.070193333E-1;-3.448678436E0;6.382277985E0;8.017926636E0
1.169803333E-1;-3.454516296E0;6.346352692E0;7.852969666E0
1.269423333E-1;-2.904859314E0;6.694378967E0;7.370373230E0
1.369043334E-1;-1.924398193E0;7.407196655E0;6.849306793E0
1.468653333E-1;-8.210426331E-1;8.423732758E0;6.550528107E0
1.568273334E-1;1.182540894E-2;9.350455627E0;6.691684570E0
1.667893333E-1;5.245092773E-1;9.471553802E0;7.254065094E0
1.767503334E-1;6.021977234E-1;8.684640198E0;7.705226898E0
1.867123334E-1;-1.975891113E-2;7.351811829E0;7.808362427E0
1.966733333E-1;-1.292562103E0;6.149661713E0;7.582482147E0
2.066353334E-1;-2.359692993E0;5.408552856E0;7.019652557E0
2.165973333E-1;-2.565065918E0;4.968468018E0;6.184539185E0
2.265583334E-1;-2.071991272E0;4.914131012E0;5.427263947E0
2.365203333E-1;-9.635462952E-1;5.570366364E0;5.537734222E0
2.464813334E-1;4.183799744E-1;6.588848419E0;6.214177551E0
2.564433333E-1;1.583556976E0;7.236850891E0;6.949598236E0
2.664053333E-1;2.222278748E0;7.178621979E0;7.620652771E0
2.763663334E-1;2.286794586E0;6.469097443E0;8.042924652E0
2.863283333E-1;2.048639832E0;5.722450104E0;8.123008118E0
2.962893334E-1;1.687740326E0;5.307213593E0;7.616760864E0
3.062513333E-1;1.221759338E0;5.167554016E0;6.429280243E0
3.162133334E-1;2.971321106E-1;4.459825745E0;4.665498047E0
3.261743333E-1;1.088985443E0;3.580554199E0;3.977079620E0
3.361363333E-1;2.267484741E0;3.236419830E0;4.588707733E0
3.460983334E-1;2.477498016E0;2.778671722E0;5.813161469E0
3.560593333E-1;3.500171356E0;2.706072693E0;6.682703247E0
3.660213334E-1;4.802313538E0;2.841391296E0;7.256460114E0
3.759823333E-1;4.834197235E0;3.119363251E0;7.274422760E0
3.859443334E-1;4.190835114E0;3.647165680E0;6.693480835E0
3.959063333E-1;3.969744873E0;4.044289856E0;5.885311432E0
4.058673333E-1;4.034560089E0;3.979474640E0;5.123994598E0
4.158293334E-1;4.218527527E0;3.375480652E0;4.679718475E0
4.257903333E-1;3.969744873E0;2.626737671E0;4.711003418E0
4.357523334E-1;3.021915894E0;2.315235443E0;5.155429230E0
4.457143333E-1;2.657274170E0;2.606380005E0;5.617069244E0
4.556753334E-1;2.880310364E0;2.933300171E0;5.843398590E0
4.656373333E-1;3.318598938E0;2.900967407E0;5.938450928E0
4.755983333E-1;3.704646149E0;2.643652496E0;5.542224884E0
4.855603334E-1;3.828588409E0;2.948269043E0;4.706512756E0
4.955223333E-1;3.210823059E0;3.034938812E0;5.891298981E0
5.054833334E-1;4.618944855E0;3.785178680E0;4.286336517E0
5.154453333E-1;8.164471893E0;4.430636444E0;6.779402161E-1
5.254063334E-1;6.476881256E0;3.773802338E0;7.508386230E-1
5.353683333E-1;2.490221558E0;3.194956055E0;2.581082611E0
5.453303333E-1;-3.058140564E-1;3.472329254E0;4.120481415E0
5.552911666E-1;-3.305126953E-1;2.713557129E0;4.679419098E0
5.652531667E-1;1.056952057E0;1.969753876E0;4.951852570E0
5.752151667E-1;3.302432556E0;1.182391205E0;4.774770813E0
5.851761667E-1;4.251908112E0;6.728507996E-1;4.291575623E0
5.951381667E-1;4.239483948E0;6.840774536E-1;3.223696289E0
6.050991666E-1;3.829336853E0;9.116043091E-1;2.052082672E0
6.150611667E-1;3.397933960E0;8.650511169E-1;8.815168762E-1
6.250231666E-1;3.952530670E0;2.216889954E-1;-1.047821045E-3
6.349841667E-1;4.806504822E0;-1.040186920E0;-3.330574036E-1
6.449461667E-1;4.505929871E0;-1.778751068E0;6.114784241E-1
6.549071667E-1;4.500990143E0;-2.038910065E0;1.234632568E0
6.648691667E-1;4.782105560E0;-2.337838440E0;1.271905060E0
6.748311666E-1;4.405638428E0;-3.780987396E0;1.054557037E0
6.847921667E-1;4.165537720E0;-4.791086884E0;1.236129456E0
6.947541666E-1;4.488715668E0;-5.193300476E0;1.967957611E0
7.047151667E-1;4.844376068E0;-5.624853058E0;2.436034241E0
7.146771667E-1;5.214256897E0;-6.148913269E0;2.257305908E0
7.246391667E-1;5.780529327E0;-6.718179474E0;1.815724182E0
7.346001667E-1;6.273005219E0;-6.954837341E0;1.376986542E0
7.445621666E-1;7.228468323E0;-6.685247955E0;1.110540619E0
7.545231667E-1;8.407266998E0;-6.437064056E0;9.696835327E-1
7.644851666E-1;9.298962708E0;-6.259233856E0;7.798782349E-1
7.744471667E-1;1.003198837E1;-5.904471588E0;3.752696228E-1
7.844081667E-1;1.044393173E1;-5.993835754E0;-2.396516418E-1
7.943701667E-1;1.127036316E1;-6.997498627E0;-9.749226379E-1
8.043311667E-1;1.332005081E1;-8.058492279E0;-1.564845886E0
8.142931666E-1;1.559876221E1;-8.687484283E0;-1.435963898E0
8.242551667E-1;1.748528915E1;-8.985065460E0;-4.239184570E-1
8.342161666E-1;1.890388916E1;-9.239386597E0;1.312021637E0
8.441781667E-1;1.987237518E1;-9.403744812E0;3.495680695E0
8.541391667E-1;2.064671494E1;-9.317823486E0;5.947282562E0
8.641011667E-1;2.130354904E1;-8.993448029E0;8.437204742E0
8.740631667E-1;2.165382065E1;-8.447982330E0;9.903854828E0
8.840241666E-1;2.138153687E1;-7.992479553E0;9.567803650E0
8.939861667E-1;2.025303360E1;-7.759713593E0;8.241561584E0
9.039471666E-1;1.887514893E1;-7.730973358E0;7.071444855E0
9.139091667E-1;1.785023026E1;-8.173602905E0;6.242319031E0
9.238711667E-1;1.703667206E1;-8.918154602E0;5.615272980E0
9.338321667E-1;1.652054535E1;-9.493408356E0;4.962480469E0
9.437941667E-1;1.623209518E1;-9.933343506E0;4.342769165E0
9.537551667E-1;1.599319199E1;-1.042102936E1;3.748205566E0
9.637171667E-1;1.554981400E1;-1.080647781E1;3.125500488E0
9.736791666E-1;1.473296265E1;-1.103684875E1;2.456990662E0
9.836401667E-1;1.329535217E1;-1.123922791E1;1.983525238E0
9.936021667E-1;1.135957764E1;-1.124925705E1;1.857936401E0
1.003563167E0;9.458231506E0;-1.093206665E1;1.922152863E0
1.013525167E0;8.009993134E0;-1.016521133E1;2.179767151E0
1.023487167E0;7.100634155E0;-9.434730377E0;2.740351410E0
1.033448167E0;6.781946869E0;-8.738677826E0;3.290307770E0
1.043410167E0;6.916666718E0;-7.994425507E0;3.824696503E0
1.053371167E0;7.160809021E0;-7.242389374E0;4.169729004E0
