"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
4.912333330E-3;-2.482971549E-1;-8.497169018E-1;3.934169114E-1
1.487333339E-2;-4.053550959E-1;-9.566890597E-1;4.288259447E-1
2.483533334E-2;-4.704025388E-1;-9.284547567E-1;4.221432507E-1
3.479733330E-2;-4.229203463E-1;-8.242828250E-1;3.621107042E-1
4.475833336E-2;-3.351052701E-1;-7.394909859E-1;2.338877618E-1
5.472033331E-2;-2.738991082E-1;-6.749560833E-1;7.043762505E-2
6.468233338E-2;-2.675999403E-1;-6.187742949E-1;-6.896127760E-2
7.464333333E-2;-3.183283210E-1;-6.034319401E-1;-1.189063862E-1
8.460533340E-2;-3.488992751E-1;-5.918602347E-1;-4.273385927E-2
9.456633334E-2;-2.859601378E-1;-6.335109472E-1;1.370223910E-1
1.045283333E-1;-1.519490778E-1;-6.833035350E-1;3.959593773E-1
1.144903334E-1;-2.199612558E-2;-7.305151224E-1;6.588878036E-1
1.244513333E-1;2.117158473E-2;-7.598937750E-1;8.289559484E-1
1.344133334E-1;-5.576243997E-2;-7.561154366E-1;8.364479542E-1
1.443743333E-1;-2.592111826E-1;-7.248411775E-1;6.784556508E-1
1.543363334E-1;-5.100812912E-1;-6.490271091E-1;3.971465528E-1
1.642983333E-1;-7.104343176E-1;-5.002418756E-1;9.310493618E-2
1.742593333E-1;-8.204135895E-1;-3.563008308E-1;-1.538613439E-1
1.842213334E-1;-8.353216648E-1;-3.029390872E-1;-2.684489191E-1
1.941833333E-1;-7.456864715E-1;-4.027989805E-1;-1.854410022E-1
2.041443334E-1;-6.449981928E-1;-5.650952458E-1;7.296711206E-2
2.141063333E-1;-6.126850247E-1;-8.893037438E-1;3.783949018E-1
2.240673334E-1;-6.465207338E-1;-1.401933074E0;6.112462878E-1
2.340293333E-1;-7.014851570E-1;-1.838812947E0;6.780936122E-1
2.439913333E-1;-7.676056027E-1;-2.080743790E0;5.456980467E-1
2.539523334E-1;-8.382724524E-1;-2.135622978E0;2.976846993E-1
2.639143333E-1;-8.745535016E-1;-2.128391266E0;3.798175976E-2
2.738753334E-1;-8.698528409E-1;-2.111780167E0;-1.574843228E-1
2.838373333E-1;-8.177065253E-1;-2.114535570E0;-2.643492520E-1
2.937993334E-1;-7.388175726E-1;-2.093196392E0;-2.853317559E-1
3.037603333E-1;-7.039501667E-1;-2.139566422E0;-2.087989151E-1
3.137223333E-1;-8.248950243E-1;-2.173408508E0;-4.865107685E-2
3.236833334E-1;-9.401699305E-1;-2.586469412E0;7.361119241E-2
3.336453333E-1;-9.733448029E-1;-3.045461178E0;2.986288965E-1
3.436073334E-1;-9.205473661E-1;-3.236523151E0;5.050802827E-1
3.535683333E-1;-8.473033309E-1;-3.187320709E0;5.262458920E-1
3.635303334E-1;-7.342630625E-1;-3.212104559E0;4.437201023E-1
3.734923333E-1;-5.861662030E-1;-3.057209730E0;4.973329902E-1
3.834533333E-1;-4.526986778E-1;-2.756829023E0;7.094354033E-1
3.934153334E-1;-3.465125263E-1;-2.550584078E0;1.002356529E0
4.033763333E-1;-2.837674022E-1;-2.306019068E0;1.285570145E0
4.133383334E-1;-2.728614807E-1;-1.896505356E0;1.460762978E0
4.233003333E-1;-2.822800279E-1;-1.423775434E0;1.524737120E0
4.332613334E-1;-3.039909005E-1;-1.022385836E0;1.499523878E0
4.432233333E-1;-3.252293468E-1;-8.428597450E-1;1.381092310E0
4.531843334E-1;-3.120826483E-1;-8.458346128E-1;1.255334496E0
4.631463333E-1;-2.563394904E-1;-8.967510462E-1;1.196357965E0
4.731083333E-1;-1.293323040E-1;-1.093928099E0;1.241456985E0
4.830693334E-1;3.385075927E-2;-1.355532289E0;1.257253528E0
4.930313333E-1;2.898721695E-1;-1.269870162E0;1.193798900E0
5.029923334E-1;2.331625670E-1;-1.689388275E0;6.102477312E-1
5.129543333E-1;-3.742806315E-1;-1.948884130E0;-4.181769788E-1
5.229163334E-1;-1.019169569E0;-1.939372659E0;-9.688456655E-1
5.328773333E-1;-1.528940797E0;-1.775777459E0;-7.125133872E-1
5.428393333E-1;-1.785167694E0;-1.575321317E0;1.307616383E-1
5.528001667E-1;-1.785730004E0;-1.428288102E0;9.811748266E-1
5.627621667E-1;-1.667078733E0;-1.397860408E0;1.577826977E0
5.727241667E-1;-1.475786805E0;-1.513192534E0;1.734255195E0
5.826851666E-1;-1.182182312E0;-1.744420409E0;1.607349992E0
5.926471667E-1;-7.874120474E-1;-2.141873360E0;1.464379907E0
6.026091666E-1;-3.375902772E-1;-2.732079744E0;1.448354363E0
6.125701667E-1;2.666424960E-2;-3.454886675E0;1.557069540E0
6.225321667E-1;1.769000888E-1;-4.170320988E0;1.744717240E0
6.324931667E-1;1.232395247E-1;-4.647329807E0;2.009354353E0
6.424551667E-1;-2.297201939E-2;-4.499787807E0;2.275548935E0
6.524171666E-1;-2.658078074E-1;-3.965887785E0;2.505168438E0
6.623781667E-1;-5.334876776E-1;-3.439273834E0;2.752589703E0
6.723401666E-1;-6.545156240E-1;-3.309706450E0;3.143567562E0
6.823011667E-1;-6.115002632E-1;-3.320633173E0;3.553835392E0
6.922631667E-1;-4.262142777E-1;-3.290473700E0;3.916170597E0
7.022251667E-1;-1.114073247E-1;-3.312284946E0;4.204288960E0
7.121861667E-1;2.279140651E-1;-3.359600544E0;4.430310249E0
7.221481666E-1;4.934616089E-1;-3.368699551E0;4.626886368E0
7.321091667E-1;6.866111755E-1;-3.397270918E0;4.734401226E0
7.420711666E-1;8.946596980E-1;-3.459700584E0;4.707448006E0
7.520331667E-1;1.153759480E0;-3.560144663E0;4.546364307E0
7.619941666E-1;1.387684822E0;-3.648201704E0;4.330462456E0
7.719561667E-1;1.371568084E0;-3.600628614E0;4.224659443E0
7.819171667E-1;9.261752963E-1;-3.225366354E0;4.336019516E0
7.918791667E-1;1.228933409E-1;-2.501228333E0;4.578554630E0
8.018411667E-1;-9.268472791E-1;-1.630199075E0;4.770035744E0
8.118021666E-1;-2.026547909E0;-7.784349918E-1;4.842786789E0
8.217641667E-1;-2.963835478E0;-4.246244207E-2;4.771977901E0
8.317251666E-1;-3.561555386E0;4.201792479E-1;4.599218369E0
8.416871667E-1;-3.731337070E0;4.649307132E-1;4.322551250E0
8.516491667E-1;-3.449557781E0;1.304668933E-1;3.972945929E0
8.616101667E-1;-2.776981831E0;-2.715833485E-1;3.571193933E0
8.715721667E-1;-1.913856387E0;-4.565549791E-1;3.085587502E0
