"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
6.353956000E-2;-6.396448612E-1;2.613996983E0;8.559675217E-1
8.186524400E-2;-7.263071537E-1;2.738369465E0;1.229188919E0
1.001749970E-1;-1.263290644E0;2.810652256E0;3.587875366E-1
1.184870700E-1;-2.090465069E0;2.282081604E0;-6.979475021E-1
1.367948100E-1;-1.387190580E0;2.565270901E0;-8.385324478E-1
1.551118260E-1;-9.605467319E-1;3.318689346E0;-9.228658676E-1
1.734240820E-1;-3.110089302E-1;3.503929377E0;-6.837635040E-1
1.917366430E-1;4.594802856E-1;3.733384132E0;-3.291578293E-1
2.100470680E-1;6.240508556E-1;3.938272715E0;-4.918689728E-1
2.283613380E-1;4.610893726E-1;3.758682489E0;-1.346933842E0
2.466738380E-1;-1.448440552E-2;3.385193825E0;-2.524715900E0
2.649871920E-1;-4.662272930E-1;3.405595303E0;-2.927723885E0
2.832995700E-1;-9.814667702E-2;3.857350111E0;-2.888138294E0
3.016106050E-1;-5.872678757E-2;4.062919140E0;-2.557836533E0
3.199231050E-1;-8.407974243E-2;4.197180748E0;-1.890527725E0
3.382354220E-1;-5.030965805E-2;4.321675777E0;-8.331060410E-1
3.565486540E-1;1.532549858E-1;4.147933483E0;-7.932090759E-2
3.748601170E-1;3.342691660E-1;3.705501795E0;-1.079671860E0
3.931735940E-1;-6.638097763E-2;3.734758377E0;-2.026167870E0
4.114849340E-1;-1.354776621E-1;3.888741255E0;-1.978816986E0
4.297984100E-1;3.203081489E-1;3.928979397E0;-1.741969585E0
4.481093840E-1;7.184599042E-1;4.106588364E0;-1.453662872E0
4.664216400E-1;3.811718822E-1;4.148555279E0;-5.691165924E-1
4.847342010E-1;-4.643082619E-2;3.942156076E0;2.306175232E-2
5.030447490E-1;-2.289961576E-1;3.852740765E0;-4.480743408E-2
5.213585910E-1;2.678376436E-2;3.553705692E0;-1.470794678E-1
5.396711520E-1;2.842042446E-1;3.660238504E0;-2.915115356E-1
