t_Android;t_unix;x;y;z;a
357217512524067;1714924073009;11.537593;-20.805891;-8.608778;3
357217515021150;1714924073009;11.537593;-20.805891;-8.608778;3
357217517518286;1714924073009;11.537593;-20.805891;-8.608778;3
357217520015421;1714924073009;11.537593;-20.805891;-8.608778;3
357217522512661;1714924073009;11.542378;-21.042782;-9.037392;3
357217525009900;1714924073009;11.542378;-21.042782;-9.037392;3
357217527507140;1714924073009;11.542378;-21.042782;-9.037392;3
357217530004432;1714924073035;11.542378;-21.042782;-9.037392;3
357217532452973;1714924073035;11.542378;-21.042782;-9.037392;3
357217534951359;1714924073035;11.542378;-21.042782;-9.037392;3
357217537449327;1714924073035;11.542378;-21.042782;-9.037392;3
357217539897296;1714924073035;11.542378;-21.042782;-9.037392;3
357217542394900;1714924073035;11.542378;-21.042782;-9.037392;3
357217544892505;1714924073035;11.542378;-21.042782;-9.037392;3
357217547390213;1714924073035;11.240883;-20.698215;-8.216354;3
357217549887921;1714924073035;10.426724;-20.099411;-6.47109;3
357217552385525;1714924073035;10.426724;-20.099411;-6.47109;3
357217554883130;1714924073035;10.426724;-20.099411;-6.47109;3
357217557380786;1714924073150;10.426724;-20.099411;-6.47109;3
357217559878442;1714924073150;10.426724;-20.099411;-6.47109;3
357217562376046;1714924073150;10.426724;-20.099411;-6.47109;3
357217564873650;1714924073150;10.426724;-20.099411;-6.47109;3
357217567371307;1714924073150;10.426724;-20.099411;-6.47109;3
357217569868963;1714924073150;10.426724;-20.099411;-6.47109;3
357217572366567;1714924073150;10.426724;-20.099411;-6.47109;3
357217574864171;1714924073150;10.426724;-20.099411;-6.47109;3
357217577361775;1714924073150;10.426724;-20.099411;-6.47109;3
357217579859380;1714924073150;10.426724;-20.099411;-6.47109;3
357217582356984;1714924073150;10.426724;-20.099411;-6.47109;3
357217584854588;1714924073150;10.426724;-20.099411;-6.47109;3
357217587352192;1714924073150;10.426724;-20.099411;-6.47109;3
357217589849796;1714924073150;9.346964;-19.055841;-3.78724;3
357217592347400;1714924073150;9.346964;-19.055841;-3.78724;3
357217594845005;1714924073150;9.346964;-19.055841;-3.78724;3
357217597342609;1714924073150;9.346964;-19.055841;-3.78724;3
357217599840213;1714924073150;9.346964;-19.055841;-3.78724;3
357217602337817;1714924073150;9.346964;-19.055841;-3.78724;3
357217604835421;1714924073150;9.346964;-19.055841;-3.78724;3
357217607333025;1714924073150;9.346964;-19.055841;-3.78724;3
357217609830630;1714924073150;9.346964;-19.055841;-3.78724;3
357217612328234;1714924073150;9.346964;-19.055841;-3.78724;3
357217614825838;1714924073150;7.8197446;-17.58575;-0.4139583;3
357217617323442;1714924073150;7.8197446;-17.58575;-0.4139583;3
357217619821046;1714924073150;7.8197446;-17.58575;-0.4139583;3
357217622318650;1714924073150;7.8197446;-17.58575;-0.4139583;3
357217624786619;1714924073150;7.8197446;-17.58575;-0.4139583;3
357217627236046;1714924073150;7.8197446;-17.58575;-0.4139583;3
357217629684588;1714924073150;7.8197446;-17.58575;-0.4139583;3
357217632132400;1714924073150;7.8197446;-17.58575;-0.4139583;3
357217634581046;1714924073150;7.8197446;-17.58575;-0.4139583;3
357217637030421;1714924073150;7.8197446;-17.58575;-0.4139583;3
357217639479067;1714924073150;7.8197446;-17.58575;-0.4139583;3
357217641926775;1714924073150;7.8197446;-17.58575;-0.4139583;3
357217644375473;1714924073150;7.8197446;-17.58575;-0.4139583;3
