"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
2.838125300E-2;-3.133401155E0;2.883650303E0;8.678768158E0
3.082984600E-2;-2.929712296E0;2.869293451E0;8.887242317E0
3.327828400E-2;-2.723929405E0;2.890828848E0;9.097810745E0
3.572682500E-2;-2.537289381E0;2.862114906E0;9.262915611E0
3.817614800E-2;-2.328814745E0;2.799901485E0;9.425926208E0
4.062380500E-2;-2.146960020E0;2.697010279E0;9.540781975E0
4.307239800E-2;-1.919641972E0;2.589333296E0;9.722636223E0
4.552166900E-2;-1.706381679E0;2.402693033E0;9.923933029E0
4.796932500E-2;-1.531705618E0;2.208575249E0;1.011296558E1
5.041791900E-2;-1.380957723E0;2.036292076E0;1.028046322E1
5.286635700E-2;-1.325922847E0;1.842473388E0;1.041715336E1
5.531495000E-2;-1.275673628E0;1.712961912E0;1.047697353E1
5.776422100E-2;-1.256231904E0;1.605284929E0;1.046500969E1
6.021193000E-2;-1.287637711E0;1.523928881E0;1.045304585E1
6.266047100E-2;-1.376172066E0;1.473679662E0;1.035942650E1
6.515797100E-2;-1.445564032E0;1.459322691E0;1.028764153E1
6.765547100E-2;-1.507777333E0;1.461715579E0;1.017278671E1
7.015271100E-2;-1.574776411E0;1.478465319E0;1.011057281E1
7.265000300E-2;-1.644168258E0;1.459322691E0;9.978967667E0
7.514745000E-2;-1.684846282E0;1.385145187E0;9.919147491E0
7.764489800E-2;-1.759023786E0;1.310967684E0;9.827920914E0
8.014224200E-2;-1.871785522E0;1.179063320E0;9.763314247E0
8.263958600E-2;-1.936391711E0;1.033101201E0;9.679565430E0
8.513698200E-2;-2.051247120E0;8.727820516E-1;9.595816612E0
8.763437800E-2;-2.187638044E0;8.177471161E-1;9.478569031E0
9.013172100E-2;-2.290529490E0;8.321040869E-1;9.318249702E0
9.262906500E-2;-2.304886341E0;8.488538265E-1;8.975776672E0
9.512646100E-2;-2.163709879E0;1.162313581E0;8.559126854E0
9.762385700E-2;-1.617847204E0;2.043470621E0;7.974978924E0
1.001212530E-1;-1.510170221E0;2.115255117E0;7.534400463E0
1.026186480E-1;-1.668096542E0;1.732104540E0;7.177869797E0
1.051160960E-1;-1.960319996E0;1.085743308E0;6.849753857E0
1.076135440E-1;-2.347957134E0;3.867399693E-1;6.643970966E0
1.101109920E-1;-2.711965322E0;-2.261217386E-1;6.605686188E0
1.126084400E-1;-2.994617462E0;-6.643074155E-1;6.612864494E0
