"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
1.437752630E-1;-1.903552771E0;-3.521839857E0;7.379034758E-1
1.462727110E-1;-1.865527511E0;-3.789391041E0;7.879929543E-1
1.487701590E-1;-1.830098391E0;-4.036173344E0;8.270871639E-1
1.512676070E-1;-1.800777674E0;-4.268295288E0;8.649597168E-1
1.537650550E-1;-1.780008912E0;-4.486978531E0;9.016105533E-1
1.562625030E-1;-1.760461807E0;-4.692223072E0;9.345963001E-1
1.587599500E-1;-1.742136359E0;-4.871812344E0;9.626953006E-1
1.612573980E-1;-1.723810911E0;-5.011085510E0;9.822424054E-1
1.637548460E-1;-1.701820493E0;-5.097826004E0;9.895725846E-1
1.662522940E-1;-1.677386522E0;-5.121037960E0;9.871291518E-1
1.687497420E-1;-1.652952671E0;-5.070948601E0;9.724688530E-1
1.712471900E-1;-1.643179178E0;-4.952444077E0;9.492566586E-1
1.737446380E-1;-1.644400835E0;-4.781406879E0;9.150491953E-1
1.762420860E-1;-1.650509238E0;-4.570053577E0;8.759549856E-1
1.787395340E-1;-1.657839417E0;-4.331823349E0;8.331956863E-1
1.812369820E-1;-1.661504507E0;-4.089927673E0;7.855495811E-1
1.837344300E-1;-1.652952671E0;-3.846810579E0;7.354601026E-1
1.862318780E-1;-1.635848999E0;-3.618353844E0;6.829272509E-1
1.886830750E-1;-1.612636805E0;-3.393561840E0;6.279509664E-1
1.911315650E-1;-1.584537745E0;-3.182208776E0;5.766398311E-1
1.935808880E-1;-1.552773714E0;-2.991624355E0;5.265503526E-1
1.960293780E-1;-1.519788027E0;-2.816922188E0;4.837910235E-1
1.984770860E-1;-1.484358788E0;-2.664210320E0;4.410317242E-1
2.009256280E-1;-1.451373100E0;-2.534710646E0;4.056025743E-1
2.033749500E-1;-1.419609070E0;-2.418649673E0;3.750602305E-1
2.058234400E-1;-1.390288353E0;-2.323357582E0;3.481829464E-1
2.082710960E-1;-1.362189412E0;-2.247459888E0;3.249707520E-1
2.107196900E-1;-1.336533785E0;-2.185153246E0;3.066453338E-1
2.131690130E-1;-1.312099934E0;-2.135063887E0;2.907632887E-1
2.156175030E-1;-1.291331053E0;-2.104521513E0;2.773246467E-1
2.180651590E-1;-1.269340634E0;-2.084974289E0;2.675510943E-1
2.205137000E-1;-1.243685007E0;-2.075200796E0;2.651077211E-1
2.229630230E-1;-1.215586066E0;-2.077644348E0;2.638860047E-1
2.254115650E-1;-1.182600260E0;-2.087417841E0;2.651077211E-1
2.278592210E-1;-1.145949483E0;-2.100856543E0;2.724378705E-1
2.303077630E-1;-1.110520363E0;-2.125290394E0;2.797680497E-1
