"property";"value"
"version";"1.1.13"
"build";"1011300"
"fileFormat";"1.17"
"deviceModel";"HD1903"
"deviceBrand";"OnePlus"
"deviceBoard";"msmnile"
"deviceManufacturer";"OnePlus"
"deviceBaseOS";"OnePlus/OnePlus7T_EEA/OnePlus7T:12/SKQ1.211113.001/Q.202301251815:user/release-keys"
"deviceCodename";"REL"
"deviceRelease";"12"
"depthFrontSensor";"0"
"depthFrontResolution";"null"
"depthFrontRate";"null"
"depthBackSensor";"0"
"depthBackResolution";"null"
"depthBackRate";"null"
"accelerometer Name";"lsm6dsm Accelerometer Non-wakeup"
"accelerometer Vendor";"STMicro"
"accelerometer Range";"78.4532"
"accelerometer Resolution";"0.0023928226"
"accelerometer MinDelay";"2404"
"accelerometer MaxDelay";"1000000"
"accelerometer Power";"0.15"
"accelerometer Version";"142606"
"linear_acceleration Name";"linear_acceleration"
"linear_acceleration Vendor";"qualcomm"
"linear_acceleration Range";"156.99008"
"linear_acceleration Resolution";"0.01"
"linear_acceleration MinDelay";"5000"
"linear_acceleration MaxDelay";"200000"
"linear_acceleration Power";"0.515"
"linear_acceleration Version";"1"
"gravity Name";"gravity  Non-wakeup"
"gravity Vendor";"qualcomm"
"gravity Range";"156.99008"
"gravity Resolution";"0.01"
"gravity MinDelay";"5000"
"gravity MaxDelay";"200000"
"gravity Power";"0.515"
"gravity Version";"1"
"gyroscope Name";"lsm6dsm Gyroscope Non-wakeup"
"gyroscope Vendor";"STMicro"
"gyroscope Range";"34.905033"
"gyroscope Resolution";"0.0012216945"
"gyroscope MinDelay";"2404"
"gyroscope MaxDelay";"1000000"
"gyroscope Power";"0.555"
"gyroscope Version";"142606"
"magnetic_field Name";"mmc5603x Magnetometer Non-wakeup"
"magnetic_field Vendor";"memsic"
"magnetic_field Range";"3000.0288"
"magnetic_field Resolution";"0.0976"
"magnetic_field MinDelay";"10000"
"magnetic_field MaxDelay";"1000000"
"magnetic_field Power";"1.0"
"magnetic_field Version";"10220072"
"pressure Name";"null"
"pressure Vendor";"null"
"pressure Range";"null"
"pressure Resolution";"null"
"pressure MinDelay";"null"
"pressure MaxDelay";"null"
"pressure Power";"null"
"pressure Version";"null"
"light Name";"OPLUS Fusion Light Sensor"
"light Vendor";"OPLUS"
"light Range";"65535.0"
"light Resolution";"1.0"
"light MinDelay";"0"
"light MaxDelay";"0"
"light Power";"1.7049999"
"light Version";"1"
"proximity Name";"proximity"
"proximity Vendor";"OnePlus"
"proximity Range";"5.0"
"proximity Resolution";"1.0"
"proximity MinDelay";"0"
"proximity MaxDelay";"0"
"proximity Power";"0.1"
"proximity Version";"205"
"temperature Name";"null"
"temperature Vendor";"null"
"temperature Range";"null"
"temperature Resolution";"null"
"temperature MinDelay";"null"
"temperature MaxDelay";"null"
"temperature Power";"null"
"temperature Version";"null"
"humidity Name";"null"
"humidity Vendor";"null"
"humidity Range";"null"
"humidity Resolution";"null"
"humidity MinDelay";"null"
"humidity MaxDelay";"null"
"humidity Power";"null"
"humidity Version";"null"
"attitude Name";"Rotation Vector  Non-wakeup"
"attitude Vendor";"qualcomm"
"attitude Range";"1.0"
"attitude Resolution";"0.01"
"attitude MinDelay";"5000"
"attitude MaxDelay";"200000"
"attitude Power";"1.415"
"attitude Version";"1"
