t_Android;t_unix;x;y;z;a
2421949146110264;1715087824245;0.8516989;0.7266242;1.0291553;3
2421949148322463;1715087824254;0.8516989;0.7266242;1.0291553;3
2421949150539402;1715087824254;0.8516989;0.7266242;1.0291553;3
2421949152760533;1715087824254;0.8516989;0.7266242;1.0291553;3
2421949154977207;1715087824254;0.8516989;0.7266242;1.0291553;3
2421949157190342;1715087824308;0.8516989;0.7266242;1.0291553;3
2421949159397008;1715087824308;0.8516989;0.7266242;1.0291553;3
2421949161622777;1715087824308;0.8516989;0.7266242;1.0291553;3
2421949163838109;1715087824308;0.8516989;0.7266242;1.0291553;3
2421949166054966;1715087824308;0.8516989;0.7266242;1.0291553;3
2421949168261143;1715087824308;0.8516989;0.7266242;1.0291553;3
2421949170471897;1715087824308;0.8516989;0.7266242;1.0291553;3
2421949172696202;1715087824308;0.8516989;0.7266242;1.0291553;3
2421949174917027;1715087824308;0.8516989;0.7266242;1.0291553;3
2421949177134007;1715087824308;0.8516989;0.7266242;1.0291553;3
2421949179339879;1715087824308;0.8516989;0.7266242;1.0291553;3
2421949181551121;1715087824308;0.8516989;0.7266242;1.0291553;3
2421949183779515;1715087824308;0.8516989;0.7266242;1.0291553;3
2421949185996373;1715087824308;0.8516989;0.7266242;1.0291553;3
2421949188205784;1715087824308;0.8516989;0.7266242;1.0291553;3
2421949190416478;1715087824308;0.8516989;0.7266242;1.0291553;3
2421949192627964;1715087824308;0.8516989;0.7266242;1.0291553;3
2421949194857884;1715087824308;0.8516989;0.7266242;1.0291553;3
2421949197071019;1715087824308;0.8516989;0.7266242;1.0291553;3
2421949199284641;1715087824308;0.8516989;0.7266242;1.0291553;3
2421949201498448;1715087824308;0.8516989;0.7266242;1.0291553;3
2421949203700108;1715087824308;0.8516989;0.7266242;1.0291553;3
2421949205920079;1715087824308;0.8516989;0.7266242;1.0291553;3
2421949208143406;1715087824308;0.8516989;0.7266242;1.0291553;3
2421949210358982;1715087824321;0.8516989;0.7266242;1.0291553;3
2421949212582737;1715087824321;0.8516989;0.7266242;1.0291553;3
2421949214792210;1715087824321;0.8516989;0.7266242;1.0291553;3
2421949217008031;1715087824321;0.8516989;0.7266242;1.0291553;3
2421949219221165;1715087824321;0.8516989;0.7266242;1.0291553;3
2421949221442783;1715087824321;0.8516989;0.7266242;1.0291553;3
2421949223654515;1715087824322;0.8516989;0.7266242;1.0291553;3
2421949225858433;1715087824324;0.8516989;0.7266242;1.0291553;3
2421949228082798;1715087824327;0.8516989;0.7266242;1.0291553;3
2421949230300267;1715087824329;0.8516989;0.7266242;1.0291553;3
2421949232524205;1715087824332;0.8516989;0.7266242;1.0291553;3
2421949234736363;1715087824333;0.8516989;0.7266242;1.0291553;3
2421949236933995;1715087824335;0.8516989;0.7266242;1.0291553;3
2421949239161107;1715087824337;0.8516989;0.7266242;1.0291553;3
2421949241380528;1715087824340;0.8516989;0.7266242;1.0291553;3
2421949243601231;1715087824344;0.8516989;0.7266242;1.0291553;3
2421949245813694;1715087824344;0.8516989;0.7266242;1.0291553;3
2421949248025913;1715087824346;0.8516989;0.7266242;1.0291553;3
2421949250238988;1715087824349;0.8516989;0.7266242;1.0291553;3
2421949252459568;1715087824351;0.8516989;0.7266242;1.0291553;3
2421949254676548;1715087824354;0.8516989;0.7266242;1.0291553;3
2421949256890233;1715087824355;0.8516989;0.7266242;1.0291553;3
2421949259100621;1715087824357;0.8516989;0.7266242;1.0291553;3
2421949261321202;1715087824360;0.8516989;0.7266242;1.0291553;3
2421949263537388;1715087824362;0.8516989;0.7266242;1.0291553;3
2421949265754429;1715087824364;0.8516989;0.7266242;1.0291553;3
2421949267962864;1715087824366;0.8516989;0.7266242;1.0291553;3
2421949270171910;1715087824368;0.8516989;0.7266242;1.0291553;3
