"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
1.493798540E-1;-2.859635353E-1;-1.943694353E-1;-8.674049377E-2
1.671121530E-1;1.553797722E-2;2.106225491E-2;4.530334473E-2
1.848343830E-1;-3.058195114E-3;-1.097452641E-1;2.668170929E-1
2.025565500E-1;-6.142377853E-3;-1.863110065E-1;4.104509354E-1
2.202831740E-1;7.130324841E-2;-2.208031416E-1;2.947511673E-1
2.379888630E-1;3.145810366E-1;-3.003617525E-1;-3.928909302E-1
2.557267780E-1;4.071377516E-1;-2.965414524E-1;-8.521413803E-1
2.734502270E-1;2.399702072E-1;-2.003571987E-1;-4.387540817E-1
2.911747150E-1;8.578670025E-2;-2.010167837E-1;1.221675873E-1
3.088984090E-1;-1.965399981E-1;-1.995985508E-1;2.017965317E-1
3.266134970E-1;-1.087926626E-1;-4.142498970E-2;2.576999664E-1
3.443459790E-1;-1.871750355E-1;-9.307754040E-2;3.561840057E-1
3.620699790E-1;-2.133411169E-1;6.733775139E-3;3.475818634E-1
3.797911700E-1;-1.994960308E-1;1.141073704E-1;3.605842590E-2
3.975084550E-1;-5.337369442E-2;5.241119862E-2;-5.764236450E-1
4.152274490E-1;4.840314388E-2;-2.235329151E-2;-5.155906677E-1
4.329662180E-1;-1.054732800E-1;8.912205696E-3;1.679210663E-1
4.506940630E-1;-3.998283744E-1;5.294132233E-2;3.886098862E-1
4.684104930E-1;-4.030048251E-1;1.296732426E-1;3.828849792E-1
4.861330280E-1;-2.740291953E-1;4.339027405E-2;-1.226501465E-1
5.038576980E-1;-8.767360449E-2;4.010200500E-3;-2.560567856E-1
5.215840160E-1;-6.103363633E-2;-1.796683073E-1;-1.305847168E-1
5.393045970E-1;2.565931380E-1;-1.932407618E-1;1.865348816E-1
5.570256660E-1;5.588807464E-1;-1.832395792E-1;2.174882889E-1
5.747503370E-1;3.087791502E-1;-3.919924498E-1;5.120019913E-1
5.924729930E-1;1.797259450E-1;-3.614968061E-1;6.380710602E-1
6.101975420E-1;1.540969312E-1;-1.877433062E-1;1.950006485E-1
6.279067700E-1;-1.594454050E-2;-1.880331039E-1;-4.113864899E-2
6.456405960E-1;4.673683643E-2;-3.416343927E-1;1.399221420E-1
6.633696000E-1;2.686051130E-1;-4.683177471E-1;1.538562775E-1
6.810765700E-1;3.624126911E-1;-3.710415363E-1;1.853713989E-1
6.988100300E-1;2.736332417E-1;-2.924345732E-1;8.280754089E-3
7.165274980E-1;1.719580889E-1;-3.487975597E-1;-2.337932587E-1
7.342643750E-1;2.122107744E-1;-3.703016043E-1;-3.412113190E-1
7.519862990E-1;2.068855762E-1;-2.912341356E-1;-3.100786209E-1
7.697096260E-1;2.029596567E-1;-2.874436378E-1;-1.493473053E-1
7.874199540E-1;2.088623047E-1;-3.122438192E-1;-5.429077148E-2
8.051523150E-1;2.977244854E-1;-3.801379204E-1;6.692314148E-2
8.228811960E-1;3.197672367E-1;-3.589936495E-1;-2.666091919E-2
8.406025100E-1;3.072074652E-1;-2.768967152E-1;-2.292404175E-1
8.583241280E-1;1.864519119E-1;-1.800105572E-1;-4.595108032E-1
8.760491040E-1;5.080461502E-3;-1.483937502E-1;-6.000785828E-1
8.937711500E-1;-6.052136421E-2;-1.809480190E-1;-5.414371490E-1
9.114992990E-1;1.179534197E-1;-2.617369890E-1;-3.951063156E-1
9.292195140E-1;2.353427410E-1;-3.010109663E-1;-2.452478409E-1
9.469385700E-1;2.816685438E-1;-2.523692846E-1;-2.582235336E-1
9.646603100E-1;-4.942941666E-2;-3.243948221E-1;3.303346634E-1
9.823898030E-1;-2.697515488E-1;2.328753471E-2;5.125665665E-1
1.000113374E0;-3.280977011E-1;-1.512229443E-1;6.936225891E-1
1.017836885E0;-1.587539911E-1;5.328142643E-2;-2.839479446E-1
1.035560518E0;-2.157986164E-1;-6.617689133E-2;-3.868827820E-1
1.053286226E0;4.921030998E-2;8.574485779E-2;-6.216087341E-1
1.071003572E0;-1.367723942E-1;-9.706914425E-2;-6.727333069E-1
1.088730684E0;-1.044071913E-1;-3.103256226E-3;-8.460903168E-2
1.106453157E0;-4.254391193E-1;-5.900907516E-2;3.744878769E-1
1.124179170E0;-3.255300522E-1;5.710542202E-2;6.030788422E-1
1.141902254E0;-3.045707941E-1;-5.221021175E-2;3.500461578E-1
1.159625459E0;-2.698036432E-1;4.092407227E-2;1.629667282E-1
1.177345308E0;-9.142708778E-2;6.501317024E-3;1.591215134E-1
1.195071443E0;-1.168191433E-1;8.217334747E-2;1.287231445E-1
1.212795870E0;-1.811610460E-1;2.181148529E-2;-7.631206512E-2
1.230520357E0;-9.837043285E-2;1.261556149E-2;-2.277269363E-1
1.248242098E0;2.623506784E-1;-1.450669765E-1;-6.171607971E-2
1.265965486E0;3.479198217E-1;-2.813758850E-1;2.905597687E-1
1.283689852E0;4.454898834E-2;-2.864353657E-1;5.743598938E-2
1.301411104E0;4.743623734E-2;-9.262466431E-2;-2.789707184E-1
1.319135713E0;-2.223886251E-1;-5.428028107E-2;-3.769083023E-1
1.336854402E0;-1.805657148E-1;3.532743454E-2;-1.380281448E-1
1.354583833E0;-2.425193787E-3;-4.643774033E-2;-5.107021332E-2
1.372302644E0;1.743396521E-1;-1.525620222E-1;-1.239557266E-1
1.390029573E0;-1.388227940E-2;-1.877924204E-1;-1.614627838E-1
1.407753084E0;-1.519668102E-1;-1.434345245E-1;-9.678649902E-2
1.425475007E0;-3.041093349E-1;-1.078481674E-1;-1.834363937E-1
1.443199861E0;-1.651465893E-2;-4.800617695E-2;-3.245048523E-1
1.460916231E0;2.386730909E-1;-1.842545271E-1;-3.349142075E-1
1.478644319E0;4.408905506E-1;-7.650303841E-2;-8.861265182E-1
1.496371553E0;9.263968468E-2;-2.978968620E-1;-4.370803833E-1
1.514091035E0;-1.330449581E-1;8.151054382E-3;-1.068820953E-1
1.531817171E0;-1.293588877E-1;1.346807480E-1;-3.091506958E-1
1.549540010E0;-1.431713104E-1;1.000812054E-1;-2.836542130E-1
1.567266756E0;-1.786860228E-1;5.581986904E-2;9.990692139E-2
1.584987764E0;8.424913883E-2;-2.218031883E-2;-6.409311295E-1
1.602710664E0;-2.640219927E-1;-1.486978531E-1;-2.831010818E-1
1.620433320E0;3.926401138E-1;1.096177101E-2;-1.505861282E-1
1.638158846E0;1.247694373E0;-1.194835901E-1;-1.522670746E0
1.655881624E0;-6.641149521E-4;-1.390719414E-2;-6.472263336E-1
1.673605806E0;3.538407087E-1;1.938239336E-1;-1.240574837E0
1.691326509E0;1.945199966E-1;3.159080744E-1;-1.543486595E0
1.709052645E0;-9.450531006E-2;5.119335651E-2;-1.401715279E0
1.726774080E0;6.123398542E-1;3.128684759E-1;-1.234169006E0
1.744494173E0;2.153170586E0;2.363038540E0;-1.157591820E0
