"event";"experiment time";"system time";"system time text"
"START";0.000000000E0;1715100946.594;"2024-05-07 18:55:46.594 UTC+02:00"
"PAUSE";2.559469903E1;1715100972.189;"2024-05-07 18:56:12.189 UTC+02:00"
"START";2.559469903E1;1715101054.830;"2024-05-07 18:57:34.830 UTC+02:00"
"PAUSE";2.771263771E1;1715101056.948;"2024-05-07 18:57:36.948 UTC+02:00"
"START";2.771263771E1;1715101060.084;"2024-05-07 18:57:40.084 UTC+02:00"
"PAUSE";2.883303460E1;1715101061.204;"2024-05-07 18:57:41.204 UTC+02:00"
"START";2.883303460E1;1715101064.319;"2024-05-07 18:57:44.319 UTC+02:00"
"PAUSE";3.095395228E1;1715101066.440;"2024-05-07 18:57:46.440 UTC+02:00"
"START";3.095395228E1;1715101067.551;"2024-05-07 18:57:47.551 UTC+02:00"
"PAUSE";4.546735333E1;1715101082.065;"2024-05-07 18:58:02.065 UTC+02:00"
"START";4.546735333E1;1715101083.088;"2024-05-07 18:58:03.088 UTC+02:00"
"PAUSE";4.754812657E1;1715101085.169;"2024-05-07 18:58:05.169 UTC+02:00"
"START";4.754812657E1;1715101088.314;"2024-05-07 18:58:08.314 UTC+02:00"
"PAUSE";5.065713634E1;1715101091.423;"2024-05-07 18:58:11.423 UTC+02:00"
"START";5.065713634E1;1715101099.755;"2024-05-07 18:58:19.755 UTC+02:00"
"PAUSE";5.378421117E1;1715101102.882;"2024-05-07 18:58:22.882 UTC+02:00"
"START";5.378421117E1;1715101113.168;"2024-05-07 18:58:33.168 UTC+02:00"
"PAUSE";5.788809528E1;1715101117.272;"2024-05-07 18:58:37.272 UTC+02:00"
"START";5.788809528E1;1715101125.560;"2024-05-07 18:58:45.560 UTC+02:00"
"PAUSE";5.998442919E1;1715101127.656;"2024-05-07 18:58:47.656 UTC+02:00"
"START";5.998442919E1;1715101188.598;"2024-05-07 18:59:48.598 UTC+02:00"
"PAUSE";2.386150029E2;1715101367.229;"2024-05-07 19:02:47.229 UTC+02:00"
"START";2.386150029E2;1715101367.253;"2024-05-07 19:02:47.253 UTC+02:00"
"PAUSE";2.396703215E2;1715101368.308;"2024-05-07 19:02:48.308 UTC+02:00"
"START";2.396703215E2;1715101369.330;"2024-05-07 19:02:49.330 UTC+02:00"
"PAUSE";2.417587143E2;1715101371.418;"2024-05-07 19:02:51.418 UTC+02:00"
"START";2.417587143E2;1715101371.443;"2024-05-07 19:02:51.443 UTC+02:00"
"PAUSE";2.427655032E2;1715101372.450;"2024-05-07 19:02:52.450 UTC+02:00"
"START";2.427655032E2;1715101378.552;"2024-05-07 19:02:58.552 UTC+02:00"
"PAUSE";2.580822049E2;1715101393.869;"2024-05-07 19:03:13.869 UTC+02:00"
"START";2.580822049E2;1715101454.498;"2024-05-07 19:04:14.498 UTC+02:00"
"PAUSE";2.634114340E2;1715101459.827;"2024-05-07 19:04:19.827 UTC+02:00"
"START";2.634114340E2;1715102375.283;"2024-05-07 19:19:35.283 UTC+02:00"
"PAUSE";4.461951574E2;1715102558.067;"2024-05-07 19:22:38.067 UTC+02:00"
"START";4.461951574E2;1715102560.988;"2024-05-07 19:22:40.988 UTC+02:00"
"PAUSE";9.161467482E2;1715103030.939;"2024-05-07 19:30:30.939 UTC+02:00"
