t_Android;t_unix;x;y;z;a
2421833286639106;1715087708387;-0.8781659;2.3353949;6.198009;3
2421833288896502;1715087708387;-0.8781659;2.3353949;6.198009;3
2421833291155641;1715087708391;-0.8781659;2.3353949;6.198009;3
2421833293376337;1715087708397;-0.8781659;2.3353949;6.198009;3
2421833295590916;1715087708397;-0.8781659;2.3353949;6.198009;3
2421833297807164;1715087708397;-0.8781659;2.3353949;6.198009;3
2421833300022618;1715087708459;-0.8781659;2.3353949;6.198009;3
2421833302238072;1715087708459;-0.8781659;2.3353949;6.198009;3
2421833304456760;1715087708459;-0.8781659;2.3353949;6.198009;3
2421833306682530;1715087708459;-0.8781659;2.3353949;6.198009;3
2421833308893467;1715087708459;-0.8781659;2.3353949;6.198009;3
2421833311110631;1715087708459;-0.8781659;2.3353949;6.198009;3
2421833313327855;1715087708459;-0.8781659;2.3353949;6.198009;3
2421833315544042;1715087708459;-0.8781659;2.3353949;6.198009;3
2421833317757787;1715087708459;-0.8781659;2.3353949;6.198009;3
2421833319968296;1715087708459;-0.8781659;2.3353949;6.198009;3
2421833322186130;1715087708459;-0.8781659;2.3353949;6.198009;3
2421833324396763;1715087708459;-0.8781659;2.3353949;6.198009;3
2421833326621800;1715087708459;-0.8781659;2.3353949;6.198009;3
2421833328835667;1715087708459;-0.8781659;2.3353949;6.198009;3
2421833331048375;1715087708459;-0.8781659;2.3353949;6.198009;3
2421833333262975;1715087708459;-0.8781659;2.3353949;6.198009;3
2421833335467076;1715087708459;-0.8781659;2.3353949;6.198009;3
2421833337699619;1715087708459;-0.8781659;2.3353949;6.198009;3
2421833339910130;1715087708459;-0.8781659;2.3353949;6.198009;3
2421833342128758;1715087708459;-0.8781659;2.3353949;6.198009;3
2421833344343174;1715087708459;-0.8781659;2.3353949;6.198009;3
2421833346557408;1715087708459;-0.8781659;2.3353949;6.198009;3
2421833348775121;1715087708459;-0.8781659;2.3353949;6.198009;3
2421833350983311;1715087708459;-0.8781659;2.3353949;6.198009;3
2421833353192539;1715087708459;-0.8781659;2.3353949;6.198009;3
2421833355411289;1715087708459;-0.8781659;2.3353949;6.198009;3
2421833357635777;1715087708459;-0.8781659;2.3353949;6.198009;3
2421833359848118;1715087708459;-0.8781659;2.3353949;6.198009;3
2421833362066502;1715087708473;-0.8781659;2.3353949;6.198009;3
2421833364285008;1715087708473;-0.8781659;2.3353949;6.198009;3
2421833366496556;1715087708473;-0.8781659;2.3353949;6.198009;3
2421833368698521;1715087708473;-0.8781659;2.3353949;6.198009;3
2421833370925511;1715087708473;-0.8781659;2.3353949;6.198009;3
2421833373145970;1715087708473;-0.8781659;2.3353949;6.198009;3
2421833375365635;1715087708475;-0.8781659;2.3353949;6.198009;3
2421833377576145;1715087708476;-0.8781659;2.3353949;6.198009;3
2421833379783970;1715087708480;-0.8781659;2.3353949;6.198009;3
2421833382004307;1715087708480;-0.8781659;2.3353949;6.198009;3
2421833384223363;1715087708487;-0.8781659;2.3353949;6.198009;3
2421833386440831;1715087708487;-0.8781659;2.3353949;6.198009;3
2421833388653172;1715087708487;-0.8781659;2.3353949;6.198009;3
2421833390861119;1715087708490;-0.8781659;2.3353949;6.198009;3
2421833393085728;1715087708491;-0.8781659;2.3353949;6.198009;3
2421833395301243;1715087708494;-0.8781659;2.3353949;6.198009;3
2421833397517856;1715087708498;-0.8781659;2.3353949;6.198009;3
2421833399726170;1715087708498;-0.8781659;2.3353949;6.198009;3
2421833401939427;1715087708500;-0.8781659;2.3353949;6.198009;3
2421833404163365;1715087708502;-0.8781659;2.3353949;6.198009;3
2421833406380101;1715087708505;-0.8781659;2.3353949;6.198009;3
2421833408596043;1715087708511;-0.8781659;2.3353949;6.198009;3
2421833410803319;1715087708511;-0.8781659;2.3353949;6.198009;3
2421833413018956;1715087708511;-0.8781659;2.3353949;6.198009;3
