"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
1.565725000E-2;-7.599696350E-1;4.178710327E0;9.695338440E0
2.569025000E-2;-7.433541870E-1;4.032015381E0;1.110810059E1
3.572225000E-2;-4.881349182E-1;4.002826080E0;1.212059509E1
4.575425000E-2;-1.401086426E-1;4.065545654E0;1.227477448E1
5.578725000E-2;2.125579834E-1;4.289330292E0;1.189291855E1
6.581925000E-2;5.887257385E-1;4.641547852E0;1.136137390E1
7.585225000E-2;8.741821289E-1;4.846621399E0;1.084704346E1
8.588425000E-2;9.960287476E-1;4.937183075E0;1.025771896E1
9.591725000E-2;9.493258667E-1;4.853357391E0;9.504485321E0
1.059492500E-1;7.863148499E-1;4.592000885E0;8.679101715E0
1.159822500E-1;6.062393188E-1;4.371659088E0;8.105793915E0
1.260142500E-1;4.540058899E-1;4.376598816E0;7.873177643E0
1.360462500E-1;2.700384521E-1;4.283642120E0;7.673941956E0
1.460792500E-1;5.224136353E-2;3.892655182E0;7.455695801E0
1.561112500E-1;-6.271957397E-2;3.488645325E0;7.367080078E0
1.661442500E-1;-5.284011841E-2;3.302881622E0;7.433242493E0
1.761762500E-1;2.933898926E-2;3.321143646E0;7.268734589E0
1.862092500E-1;1.321751404E-1;3.428919525E0;6.700815582E0
1.962412500E-1;1.694476318E-1;3.570225677E0;6.107748871E0
2.062732500E-1;1.872605896E-1;3.854035492E0;5.953868866E0
2.163062500E-1;2.224374390E-1;4.167034607E0;6.163732452E0
2.263382500E-1;1.968406677E-1;4.276307373E0;6.179898834E0
2.363712500E-1;1.821711731E-1;4.288881226E0;5.980214081E0
2.464032500E-1;-3.188369751E-2;4.377496948E0;5.679639130E0
2.564363333E-1;-2.644999695E-1;4.529131622E0;5.696104889E0
2.664683333E-1;-2.251318359E-1;4.705015869E0;5.966442719E0
2.765013333E-1;-1.407073975E-2;4.796775055E0;6.311774597E0
2.865333333E-1;2.698887634E-1;4.891228638E0;6.587950287E0
2.965653333E-1;4.339476013E-1;5.014272766E0;6.852300568E0
3.065983333E-1;4.950205994E-1;5.145549774E0;7.105424194E0
3.166303333E-1;5.113366699E-1;5.297184448E0;7.127428436E0
3.266633333E-1;4.578977966E-1;5.548661499E0;6.892117767E0
3.366953333E-1;3.097059631E-1;5.879623260E0;6.560407562E0
3.467283333E-1;2.627037048E-1;6.138584747E0;6.464606781E0
3.567603333E-1;3.647914124E-1;6.190975800E0;6.842421112E0
3.667933333E-1;4.704716492E-1;5.736071777E0;7.270231476E0
3.768253333E-1;3.490740967E-1;5.789810028E0;7.887398071E0
3.868573333E-1;4.433779907E-1;6.084696808E0;8.432863770E0
3.968903333E-1;5.173242188E-1;5.936954041E0;8.854536896E0
4.069223333E-1;1.037342834E0;5.683531036E0;9.579329681E0
4.169553333E-1;1.628164215E0;5.460045776E0;1.037223083E1
4.269873333E-1;1.765129395E0;5.233267365E0;1.069974976E1
4.370203333E-1;1.548080750E0;5.047204285E0;1.074585388E1
4.470523333E-1;8.867559814E-1;4.753814392E0;1.156060959E1
4.570843333E-1;7.506889343E-1;4.552632751E0;1.237865845E1
4.671173333E-1;1.871408386E0;4.540507965E0;1.089958420E1
4.771493333E-1;2.393372955E0;4.531676331E0;1.043974045E1
4.871823333E-1;2.159858551E0;4.415368195E0;1.040621017E1
4.972143333E-1;2.140399017E0;4.248315582E0;9.848470001E0
5.072473333E-1;1.930984497E0;4.271966400E0;9.346563721E0
5.172793333E-1;1.328337708E0;4.461921387E0;9.160201263E0
5.273123333E-1;9.178912354E-1;4.622986450E0;8.803193665E0
5.373443333E-1;9.457333374E-1;4.510719910E0;8.258775787E0
5.473763333E-1;1.088087311E0;3.923041992E0;7.876620483E0
5.574093333E-1;1.439855804E0;3.039279785E0;7.988737335E0
5.674413333E-1;2.171534271E0;2.263592834E0;8.400531006E0
5.774743333E-1;3.268004150E0;1.420096893E0;8.828341370E0
5.875063333E-1;4.302951965E0;5.634283447E-1;1.000549347E1
5.975393333E-1;5.474415894E0;8.098159790E-2;1.178110107E1
6.075713333E-1;6.300547943E0;1.707948303E-1;1.108474915E1
6.176043333E-1;5.872438202E0;4.342469788E-1;9.917326813E0
6.276363333E-1;5.439987488E0;5.227130127E-1;8.983867950E0
6.376683333E-1;5.072501678E0;1.187031555E0;8.051157532E0
6.477013333E-1;5.595214691E0;1.946552124E0;8.040230255E0
6.577333333E-1;5.976172485E0;2.197729797E0;8.435109100E0
6.677663333E-1;5.753435669E0;1.706301727E0;8.156089325E0
6.777983333E-1;4.099524994E0;1.183738403E0;6.787185974E0
6.878313333E-1;4.012555847E0;1.167422333E0;5.966592407E0
6.978633333E-1;5.290298767E0;9.148974609E-1;5.627547455E0
7.078963333E-1;5.318889313E0;1.603465576E0;6.192023621E0
7.179283333E-1;5.370980988E0;2.393672333E0;7.071744232E0
