"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
2.067821000E-2;-5.051049232E0;7.751789093E-1;-1.815657616E0
5.729902000E-2;-3.933956623E0;1.341506243E0;-6.971645355E-1
7.562361700E-2;-3.849820137E0;1.270207167E0;1.433458328E-1
9.393136700E-2;-4.042133808E0;9.547748566E-1;5.757675171E-1
1.122416800E-1;-4.253668785E0;6.999597549E-1;-2.542762756E-1
1.305530930E-1;-4.549867630E0;7.641358376E-1;-1.247267723E0
1.488620640E-1;-4.539443970E0;7.520074844E-1;-1.435445786E0
1.671722550E-1;-4.260608673E0;6.717553139E-1;-5.355024338E-1
1.854826910E-1;-4.146446228E0;5.455055237E-1;2.004327774E-1
2.037944090E-1;-4.297435284E0;4.977095127E-1;5.427007675E-1
2.221032580E-1;-4.261055946E0;4.118187428E-1;3.198366165E-1
2.404138160E-1;-4.381311893E0;7.045314312E-1;1.680555344E-1
2.587237020E-1;-4.521173477E0;7.493145466E-1;3.723697662E-1
2.770345040E-1;-4.908294201E0;7.887495756E-1;1.290467262E0
2.953448180E-1;-4.646139145E0;9.618746638E-1;1.784620285E0
3.136548260E-1;-3.127533674E0;3.879184723E-1;1.381362915E0
3.319663610E-1;-2.424011946E0;1.683630794E-1;1.712718010E0
3.502764920E-1;-2.283581495E0;2.948680520E-2;1.706395149E0
3.685860730E-1;-2.316587210E0;-1.358036101E-1;1.212122917E0
3.868915040E-1;-2.751542330E0;-2.037220448E-1;-2.590494156E-1
4.052064560E-1;-3.339460373E0;-1.196342558E-1;-1.373993874E0
4.235171970E-1;-4.056253433E0;-2.207303047E-1;-1.177782059E0
4.418261070E-1;-4.641464233E0;-2.954455316E-1;-8.091259003E-1
4.601384960E-1;-4.657594681E0;-8.807585835E-1;-2.138179779E0
4.784479550E-1;-3.752985001E0;-1.036316395E0;-2.304316044E0
4.967582080E-1;-3.385836601E0;-6.778714657E-1;-5.786514282E-2
5.150630900E-1;-3.273145914E0;-2.107403576E-1;1.493151665E0
5.333749290E-1;-3.345966339E0;-4.495481551E-1;1.305154800E0
5.516891490E-1;-4.147619247E0;-9.897964597E-1;8.322057724E-1
5.699997680E-1;-4.565171719E0;-1.384450436E0;3.975324631E-1
5.883100820E-1;-4.742145061E0;-1.366963863E0;7.628898621E-1
6.066203950E-1;-4.938319206E0;-1.493229389E0;9.890165329E-1
6.249306480E-1;-4.664279461E0;-2.376445293E0;5.881156921E-1
6.432361400E-1;-5.396870613E0;-1.951661468E0;-5.378150940E-2
6.615513370E-1;-5.169975281E0;-8.210643530E-1;-4.374713898E-1
6.798614060E-1;-4.317340851E0;-6.940771341E-1;5.271854401E-1
6.981618930E-1;-4.352134705E0;-4.972280264E-1;1.868425369E0
7.164822170E-1;-4.065043926E0;-4.159251451E-1;2.299745560E0
7.347928360E-1;-3.721094370E0;-1.449522972E-1;2.682421684E0
7.531029050E-1;-3.335579395E0;9.521079063E-2;2.508157730E0
7.714146840E-1;-3.469717503E0;7.688879967E-2;1.866236687E0
7.897234710E-1;-3.548620224E0;-5.492734909E-2;1.369096756E0
8.080338450E-1;-3.422180653E0;-2.396879196E-1;1.332198143E0
8.263440370E-1;-3.233027458E0;-3.401075602E-1;1.971476555E0
8.446547170E-1;-2.992421389E0;-4.871726036E-1;2.327217102E0
8.629649700E-1;-3.269711494E0;-6.168487072E-1;1.738026619E0
8.812750390E-1;-3.518142700E0;-6.930575371E-1;4.251165390E-1
8.995854140E-1;-3.178866148E0;-5.943629742E-1;-3.929815292E-1
9.178962160E-1;-2.729854345E0;-5.701065063E-1;-6.251487732E-1
9.362062250E-1;-2.481803656E0;-5.171885490E-1;-1.181598186E0
9.545168440E-1;-2.651846170E0;-6.350914240E-1;-2.085325241E0
9.728283170E-1;-3.134713173E0;-9.929958582E-1;-2.613703728E0
9.911372270E-1;-3.078857660E0;-7.428600192E-1;-2.549660206E0
1.009447785E0;-3.626336098E0;-2.441293597E-1;-2.017286301E0
1.027758038E0;-2.620186329E0;1.324289441E-1;-1.449169636E0
1.046056755E0;-2.938709259E-1;5.865405798E-1;-5.944309235E-1
1.064378665E0;6.847300529E-1;8.046025634E-1;-2.929930687E-1
1.082687575E0;9.428014755E-1;8.752877712E-1;-4.027581215E-1
1.100998438E0;-2.704796791E-1;9.831016064E-1;-7.273707390E-1
1.119309667E0;-1.620417595E0;1.320546508E0;-1.272682667E0
1.137620164E0;-2.331986427E0;7.563046217E-1;-2.089845657E0
1.155925656E0;-2.837904930E0;1.531153917E-1;-2.697004795E0
1.174240608E0;-2.041599274E0;3.694229126E-1;-3.480890751E0
1.192550922E0;-1.489476204E0;-3.762699366E-1;-2.128726959E0
1.210861480E0;-1.676942825E0;-1.211646318E0;2.193915844E-2
1.229171428E0;-1.022019386E0;-1.553087473E0;2.301079750E0
1.247484916E0;6.710672379E-1;-1.632859707E0;4.138232231E0
1.265792116E0;2.923454285E0;-1.043561935E0;5.491922379E0
1.284096631E0;4.735592842E0;-1.050216675E0;5.621306896E0
1.302412988E0;5.506462097E0;-1.514490604E0;4.793351650E0
1.320723546E0;6.157074451E0;-1.458338737E0;2.848525763E0
1.339033371E0;8.021320343E0;-1.224773884E0;1.159570694E0
1.357344234E0;9.630314827E0;-1.229375839E0;6.855170727E-1
1.375654243E0;1.076191044E1;-6.470775604E-2;1.183133125E0
1.393964861E0;9.922378540E0;2.916431427E-1;3.215842009E0
1.412276579E0;9.695398331E0;-6.033935547E-1;2.625225544E0
1.430585489E0;1.013916779E1;-5.426979065E-2;2.232541084E0
1.448895986E0;1.018482208E1;4.146718979E-1;2.275995016E0
1.467206361E0;9.787631035E0;4.994640350E-1;1.687690616E0
1.485516613E0;9.582440376E0;3.069343567E-1;1.062663794E0
1.503826988E0;8.390496254E0;-5.292510986E-2;1.542315006E0
1.522137241E0;7.726363182E0;-4.665088654E-2;2.493286610E0
1.540448592E0;7.411001205E0;7.202968597E-1;2.816345453E0
1.558758173E0;6.967352867E0;1.502253532E0;2.605710983E0
1.577068365E0;6.571603775E0;1.923150063E0;2.071787357E0
1.595378801E0;6.548627377E0;1.551339149E0;2.023655653E0
1.613690030E0;6.313604355E0;1.418828964E-1;2.491681814E0
1.631999367E0;5.860029697E0;1.592512131E-1;2.129915476E0
1.650309742E0;6.724299431E0;9.103679657E-1;2.400950670E0
1.668620056E0;7.053326607E0;1.512030125E0;2.113747120E0
1.686930370E0;6.926293850E0;1.859686375E0;1.872248173E0
1.705241538E0;6.503054142E0;1.549060822E0;1.488914013E0
1.723544893E0;5.608172417E0;6.048212051E-1;1.424878359E0
1.741861494E0;4.919632912E0;-1.564188004E-1;1.996359706E0
1.760171930E0;4.611907005E0;-1.722564697E-1;2.258608103E0
1.778481694E0;4.183937550E0;-3.642482758E-1;1.841167450E0
1.796787613E0;3.766107082E0;-5.619440079E-1;2.108069181E0
1.815091152E0;3.991976738E0;-4.222135544E-1;2.107482433E0
1.833408973E0;4.243307590E0;-1.790809631E-2;1.488422155E0
1.851722277E0;4.191548824E0;-5.486583710E-2;9.226634502E-1
1.870033751E0;3.879088879E0;-1.309461594E-1;7.097380161E-1
1.888344309E0;3.538476706E0;-1.732625961E-1;3.799927235E-1
1.906654867E0;2.961804390E0;-8.283691406E-1;7.335170507E-1
1.924959077E0;2.901014805E0;-1.199114799E0;8.807557821E-1
1.943271527E0;5.249015331E0;-8.824491501E-1;2.836043119E0
1.961587394E0;6.724873066E0;7.418823242E-1;1.117513537E0
1.979898625E0;7.431228638E0;1.754654884E0;1.615480304E0
1.998206435E0;5.476919651E0;5.958700180E-1;1.895695210E0
2.016516383E0;4.549198151E0;-5.277271271E-1;1.418905258E0
2.034827063E0;4.977308273E0;-1.127281189E-1;5.487387180E-1
2.053138720E0;4.447001457E0;2.295484543E-1;9.169828892E-1
