"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
1.659997450E-1;-3.706589341E-2;7.023072243E-2;1.783370972E-2
1.843118790E-1;3.957659751E-2;9.131431580E-5;-1.016283035E-1
2.026230360E-1;3.937935829E-2;-7.851862907E-2;-1.183300018E-1
2.209352310E-1;-7.700274885E-2;-1.268315315E-2;-6.869316101E-2
2.392465100E-1;-2.069823593E-1;8.822536469E-2;-1.572427750E-1
2.575584000E-1;-2.657286823E-1;9.863495827E-2;-7.551479340E-2
2.758694350E-1;-1.352074444E-1;5.439519882E-2;2.000522614E-2
2.941815690E-1;-9.360289574E-2;-4.239296913E-2;1.810121536E-1
3.124933370E-1;-1.096946001E-1;3.342032433E-2;2.891130447E-1
3.308063860E-1;-2.079099566E-1;1.363596916E-1;1.513414383E-1
3.491166890E-1;-1.657458693E-1;4.367876053E-2;1.676111221E-1
3.674284560E-1;-6.815397739E-2;2.464413643E-2;1.066093445E-1
3.857404680E-1;-2.055541128E-1;1.540899277E-3;-2.867002487E-1
4.040519910E-1;-1.447327435E-1;-8.279037476E-2;-2.794055939E-1
4.223632710E-1;3.602012992E-2;-2.401552200E-1;9.922885895E-2
4.406754650E-1;-4.782915115E-3;-5.700135231E-2;1.049470901E-1
4.589881480E-1;-1.981239021E-1;2.961621284E-1;-6.889247894E-2
4.772987570E-1;-3.687222004E-1;1.148102283E-1;6.702041626E-2
4.956102800E-1;-1.647535414E-1;-8.822822571E-2;-2.381105423E-1
5.139172870E-1;-3.377693892E-2;-2.985215187E-1;-4.540824890E-2
5.322338760E-1;1.689234674E-1;-5.325131416E-1;2.861194611E-1
5.505427140E-1;-1.886415482E-2;-1.745631695E-1;6.199045181E-1
5.688568620E-1;-4.761131108E-1;2.443480492E-1;5.179691315E-1
5.871700950E-1;-4.295695424E-1;3.243141174E-1;1.124343872E-1
6.054809460E-1;-7.183814645E-1;3.313822746E-1;-4.481687546E-1
6.237966200E-1;-2.629414499E-1;-1.299142838E-2;-2.170085907E-1
6.420990500E-1;6.824039817E-1;-3.386719227E-1;2.818651199E-1
