"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
2.671269400E-2;-5.139212608E-1;1.717586517E-1;-5.760593414E-1
4.502299700E-2;-6.861974001E-1;2.001991272E-1;-8.384265900E-1
6.333568000E-2;-8.747531176E-1;1.228561401E-1;-6.144437790E-1
8.164677600E-2;-6.504945755E-1;4.459095001E-2;-4.050712585E-1
9.995750600E-2;-2.379726768E-1;-7.008814812E-2;7.902050018E-2
1.182800160E-1;-5.321991444E-2;3.032255173E-2;4.038286209E-1
1.365916610E-1;-1.519120634E-1;6.606817245E-3;1.319494247E-1
1.549006820E-1;-3.762820363E-1;-1.225552559E-1;-4.338979721E-1
1.732139760E-1;-5.575248003E-1;-6.155657768E-2;-5.316734314E-1
1.915240950E-1;-6.365804076E-1;1.131055355E-1;-2.951593399E-1
2.098364730E-1;-6.435897350E-1;1.399161816E-1;-9.250450134E-2
2.281496450E-1;-6.330882907E-1;1.756289005E-1;8.575630188E-2
2.464590930E-1;-6.753339767E-1;1.369290352E-1;1.430187225E-1
2.647701890E-1;-7.754949927E-1;1.982841492E-1;8.286666870E-2
2.830813460E-1;-7.280848026E-1;3.620388508E-1;-2.120933533E-1
3.013913450E-1;-6.187357306E-1;1.756482124E-1;-4.916095734E-1
3.197037220E-1;-8.258308172E-1;2.851400375E-1;-6.850719452E-2
3.380150010E-1;-1.162925839E0;4.253821373E-1;-1.842288971E-1
3.563262190E-1;-1.066340566E0;3.915598392E-1;-2.149744034E-1
3.746373160E-1;-6.125533581E-1;1.991105080E-1;-1.972055435E-1
3.929497550E-1;-5.749248862E-1;1.111059189E-1;-3.887948990E-1
4.112589590E-1;-5.870834589E-1;1.091707945E-1;-5.616416931E-1
4.295712150E-1;-7.311221361E-1;1.071588993E-1;-6.639575958E-1
4.478824940E-1;-8.562898040E-1;2.542418242E-1;-5.403127670E-1
4.661934070E-1;-1.115185261E0;4.706670046E-1;-2.637033463E-1
4.844933950E-1;-1.044282675E0;1.271246672E-1;-2.527160645E-1
5.028157820E-1;-4.319120646E-1;-4.929424524E-1;3.690605164E-1
5.211284660E-1;1.518826485E-1;-2.162566185E-1;-3.765850067E-1
5.394411490E-1;4.838085175E-2;-9.736305475E-2;-2.551107407E-1
5.577491320E-1;-3.979688883E-1;-1.276421547E-2;-8.019952774E-1
5.760560780E-1;-1.714322090E0;-5.621349812E-2;9.724998474E-2
5.943718740E-1;-1.748951674E0;1.668116450E-1;3.349914551E-1
6.126832140E-1;-1.132844210E0;-1.120732427E-1;-5.782461166E-1
6.309941880E-1;-1.071250916E0;-2.848532200E-1;-1.576354504E0
6.493057120E-1;-1.446356416E0;-6.167095900E-1;-1.869774818E0
6.676171130E-1;-1.125445127E0;-6.151133180E-1;-1.782005310E0
6.859281480E-1;-6.444814205E-1;1.163332760E-1;-1.486658096E0
7.042333250E-1;-3.697001934E-1;7.199119925E-1;-1.742519379E0
7.225504020E-1;-5.750551224E-1;8.147062659E-1;-1.501127243E0
7.408617420E-1;-9.710497856E-1;5.030305386E-1;-1.668097019E0
7.591727160E-1;-1.575580716E0;2.905943096E-1;-1.710777760E0
7.774843000E-1;-1.372278690E0;-4.333252311E-1;-5.196065903E-1
7.957954580E-1;-9.814336300E-1;-4.306308627E-1;-9.085836411E-1
8.141067980E-1;-5.242798328E-1;7.912154794E-1;-1.062028408E0
8.324166120E-1;-1.066311121E0;-3.347357512E-1;-1.045304775E0
8.507290520E-1;-1.312657833E0;-4.649782181E-2;-1.420296669E0
8.690405140E-1;-8.360328674E-1;-1.480224133E-1;-3.788204193E-1
8.873514270E-1;-7.260470390E-1;-2.432194948E-1;6.884393692E-1
9.056626450E-1;-3.425846100E-1;-4.501318932E-2;6.336221695E-1
9.239748410E-1;3.917407990E-2;6.029272079E-1;-1.490278244E-1
9.422850820E-1;7.627239227E-1;1.272235036E0;-3.330168724E-1
9.605963000E-1;6.605396271E-1;1.248606801E0;-2.387471199E-1
9.789069690E-1;1.981639862E-2;9.896748066E-1;3.741040230E-1
9.972068960E-1;-4.300508499E-1;5.300536156E-1;8.731794357E-1
1.015530138E0;-4.515786171E-1;6.098401546E-1;1.130866051E0
1.033842577E0;-2.776479721E-2;9.550213814E-1;1.160104752E0
1.052152391E0;-4.445953369E-1;1.641161680E0;9.032382965E-1
1.070464648E0;-1.753497124E0;1.946353674E0;4.864974022E-1
1.088775011E0;-2.167722702E0;1.227652073E0;1.035622597E0
1.107073046E0;-6.947331429E-1;6.903114319E-1;1.884352207E0
1.125385546E0;1.555989265E0;4.535167217E-1;2.599389553E0
1.143698046E0;2.521026611E0;6.660571098E-1;2.503093243E0
1.162008776E0;2.479756355E0;5.717282295E-1;2.049591303E0
1.180320299E0;2.793090820E0;-1.937103271E-1;1.798441648E0
1.198631334E0;3.788120270E0;-6.518940926E-1;1.513692141E0
1.216942797E0;3.602950096E0;-1.923060417E-1;8.534479141E-2
1.235253099E0;2.177132607E0;9.837403297E-1;-1.507877588E0
1.253574938E0;9.770288467E-1;7.705459595E-1;-1.647515059E0
1.271890062E0;1.150046349E0;-1.730380058E-1;-4.087100029E-1
1.290198290E0;1.428045273E0;-2.094011307E-1;5.221347809E-1
1.308512316E0;1.782375336E0;3.086338043E-1;6.787250042E-1
1.326820726E0;1.210252762E0;1.983947754E-1;7.247791290E-1
1.345125842E0;-2.674503326E-1;-3.720474243E-1;5.204117298E-1
1.363442980E0;-1.027332306E0;-1.204289436E0;-6.193530560E-2
