"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
4.912333330E-3;-1.194081689E0;7.575360239E-1;-1.459639859E0
1.487333339E-2;-1.002649257E0;6.851644510E-1;-1.284172518E0
2.483533334E-2;-4.189103168E-1;5.787299234E-1;-5.195274496E-1
3.479733330E-2;1.286273423E-1;6.824419874E-1;3.687429607E-1
4.475833336E-2;6.616337934E-1;9.422864038E-1;1.011378273E0
5.472033331E-2;1.160652719E0;1.118468274E0;1.044553621E0
6.468233338E-2;1.270340491E0;1.150304024E0;7.853570759E-1
7.464333333E-2;1.056737903E0;1.210421587E0;4.956860125E-1
8.460533340E-2;4.724665730E-1;8.958074713E-1;2.372881973E-1
9.456633334E-2;-5.276302287E-1;3.225832862E-1;4.754008520E-1
1.045283333E-1;-1.529047039E0;-2.813621700E-2;8.310203218E-1
1.144903334E-1;-2.144106737E0;-2.941213793E-1;9.043186784E-1
1.244513333E-1;-2.079489741E0;-2.362690276E-1;6.325950587E-1
1.344133334E-1;-1.531966846E0;1.938387072E-1;1.205116993E-1
1.443743333E-1;-5.755541544E-1;9.804459178E-1;-4.083332884E-1
1.543363334E-1;3.882505146E-1;2.067076687E0;-6.303742862E-1
1.642983333E-1;1.088896273E0;2.890647072E0;-4.262690377E-1
1.742593333E-1;1.480225274E0;2.829760600E0;1.238112831E-1
1.842213334E-1;1.408893043E0;1.920976987E0;4.294896841E-1
1.941833333E-1;5.759522036E-1;6.147973037E-1;3.966587377E-1
2.041443334E-1;-7.918132791E-1;-4.383119631E-1;3.997624397E-2
2.141063333E-1;-1.728415605E0;-1.028931615E0;-6.346766675E-1
2.240673334E-1;-1.857556040E0;-1.370908946E0;-1.565393770E0
2.340293333E-1;-1.368483375E0;-1.199784917E0;-2.218162308E0
2.439913333E-1;-3.213381947E-1;-3.249420530E-1;-1.934174738E0
2.539523334E-1;8.518369212E-1;7.049794954E-1;-1.280239096E0
2.639143333E-1;1.740210316E0;1.273045267E0;-5.988075078E-1
2.738753334E-1;2.051107357E0;1.068168771E0;-3.059204757E-2
2.838373333E-1;1.894826193E0;3.617023283E-1;2.851108199E-1
2.937993334E-1;1.451038897E0;-2.543620670E-1;1.818004596E-1
3.037603333E-1;9.156817918E-1;-5.350120461E-1;-4.932500625E-1
3.137223333E-1;1.881011268E-1;-6.253322321E-1;-1.908525926E0
3.236833334E-1;-7.742312863E-1;-1.500181528E0;-3.623635899E0
3.336453333E-1;2.575786203E-1;-2.085908230E0;-3.923552454E0
3.436073334E-1;7.867117296E-1;-2.391562073E0;-3.093762386E0
3.535683333E-1;8.672009920E-1;-2.702300069E0;-1.898190388E0
3.635303334E-1;1.721924464E0;-2.617141805E0;-1.113083573E0
3.734923333E-1;2.622435582E0;-2.393746008E0;-5.671547753E-1
3.834533333E-1;2.034153647E0;-1.994818550E0;-7.310937452E-1
