"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
2.192625000E-2;-1.252694011E0;-5.993337631E-1;1.806291342E-1
3.195925000E-2;-9.892418385E-1;-6.205639839E-1;2.727497518E-1
4.199125000E-2;-7.377508283E-1;-5.496932864E-1;3.653565943E-1
5.202425000E-2;-5.757217407E-1;-4.222585857E-1;4.167092741E-1
6.205625000E-2;-4.786587358E-1;-2.815723121E-1;3.954921961E-1
7.208925000E-2;-3.997002542E-1;-1.755337715E-1;3.091951311E-1
8.212125000E-2;-3.407678008E-1;-9.741199762E-2;1.991896331E-1
9.215325000E-2;-3.158688247E-1;-1.026672125E-1;1.150537208E-1
1.021862500E-1;-3.270476162E-1;-1.839412898E-1;6.831154227E-2
1.122182500E-1;-3.528552651E-1;-2.893569171E-1;6.371742114E-3
1.222512500E-1;-3.454689085E-1;-3.535313308E-1;-5.464411527E-2
1.322832500E-1;-3.295046091E-1;-3.694591820E-1;-8.355139941E-2
1.423162500E-1;-3.254190385E-1;-3.097506464E-1;-5.727146566E-2
1.523482500E-1;-2.777282298E-1;-2.132408917E-1;1.145992428E-2
1.623802500E-1;-1.510989517E-1;-1.127599701E-1;8.449520171E-2
1.724132500E-1;5.996398162E-3;-1.779218018E-2;1.322869509E-1
1.824452500E-1;1.038809121E-1;3.603712842E-2;1.608496606E-1
1.924782500E-1;1.262983382E-1;5.042458698E-2;1.745500267E-1
2.025102500E-1;1.470419317E-1;3.830011934E-2;1.630384773E-1
2.125432500E-1;2.150297761E-1;5.282384809E-4;1.425334662E-1
2.225752500E-1;2.888766825E-1;-5.950038135E-2;1.195553690E-1
2.326082500E-1;2.953236699E-1;-1.245283782E-1;9.676297009E-2
2.426402500E-1;2.155538201E-1;-1.876981854E-1;1.006005704E-1
2.526722500E-1;1.297648847E-1;-2.589670122E-1;1.351146102E-1
2.627053333E-1;7.884147763E-2;-3.632224798E-1;1.614457667E-1
2.727373333E-1;5.270734802E-2;-4.529081583E-1;1.606055349E-1
2.827703333E-1;4.461985826E-2;-5.178387165E-1;1.512578428E-1
2.928023333E-1;5.503281951E-2;-5.789579749E-1;1.313134283E-1
3.028353333E-1;7.799526304E-2;-6.102862358E-1;1.224916354E-1
3.128673333E-1;7.752840966E-2;-6.346610785E-1;1.069137454E-1
3.229003333E-1;6.005372852E-3;-6.987798810E-1;4.916305467E-2
3.329323333E-1;-1.401515603E-1;-7.777471542E-1;-1.736670360E-2
3.429643333E-1;-3.111434579E-1;-8.461757302E-1;-6.154771894E-2
3.529973333E-1;-4.824275970E-1;-9.595707059E-1;-1.011824831E-1
3.630293333E-1;-6.397020221E-1;-1.055233955E0;-1.325628459E-1
3.730623333E-1;-7.913131714E-1;-1.082760453E0;-1.290725172E-1
3.830943333E-1;-9.424596429E-1;-1.008078218E0;-7.708517462E-2
3.931273333E-1;-1.073007822E0;-1.013470650E0;3.014930699E-4
4.031593333E-1;-1.106537342E0;-1.154072523E0;1.062461082E-2
4.131913333E-1;-9.909236431E-1;-1.428360224E0;-4.901617765E-3
4.232243333E-1;-7.622963786E-1;-1.715187788E0;3.852099413E-3
4.332563333E-1;-5.155885816E-1;-1.891458631E0;2.665062249E-2
4.432893333E-1;-2.456977516E-1;-1.556140065E0;1.611035019E-1
4.533213333E-1;-4.831996188E-2;-1.155339360E0;3.460874856E-1
4.633543333E-1;8.971116040E-5;-8.288155794E-1;4.707083404E-1
4.733863333E-1;2.157369629E-2;-4.196637571E-1;5.206286907E-1
4.834193333E-1;-7.128783315E-2;-1.136872172E-1;4.800985754E-1
4.934513333E-1;-2.357526720E-1;-8.163261414E-2;3.993453979E-1
5.034833333E-1;-3.773182631E-1;-1.052398980E-1;3.493393362E-1
5.135163333E-1;-5.001547337E-1;-9.285832942E-2;3.506994247E-1
5.235483333E-1;-6.301997900E-1;-1.519564092E-1;4.123520851E-1
5.335813333E-1;-7.733756304E-1;-5.066575408E-1;4.910607338E-1
5.436133333E-1;-8.879289031E-1;-1.128125548E0;6.071801186E-1
5.536463333E-1;-9.122148156E-1;-2.000653982E0;7.422010303E-1
5.636783333E-1;-8.353194594E-1;-2.894121170E0;8.851749301E-1
5.737113333E-1;-7.505374551E-1;-3.444347620E0;1.041960359E0
5.837433333E-1;-6.247257590E-1;-3.252788305E0;1.201858640E0
5.937753333E-1;-4.034971893E-1;-2.681856394E0;1.307115316E0
6.038083333E-1;-2.272497714E-1;-2.143908501E0;1.336539626E0
6.138403333E-1;-9.261021018E-2;-1.587782860E0;1.352455735E0
6.238733333E-1;-4.803838581E-2;-1.307392836E0;1.346335888E0
6.339053333E-1;-5.231062695E-2;-1.176486969E0;1.281278372E0
6.439383333E-1;1.165759284E-2;-1.027915001E0;1.171794653E0
6.539703333E-1;1.815438271E-1;-7.653028369E-1;1.009855270E0
6.640033333E-1;2.895611525E-1;-2.339181900E-1;8.782568574E-1
6.740353333E-1;1.272750348E-1;4.562930763E-2;1.116143703E0
6.840673333E-1;-2.441998869E-1;8.679611981E-2;1.306279659E0
6.941003333E-1;-5.781645775E-1;-4.766634479E-2;1.310606241E0
7.041323333E-1;-7.156596780E-1;-2.446555644E-1;1.189628124E0
7.141653333E-1;-7.391464114E-1;-3.477835357E-1;1.030052066E0
7.241973333E-1;-6.599537730E-1;-3.592056632E-1;8.571004272E-1
7.342303333E-1;-5.324469209E-1;-2.127754539E-1;7.676307559E-1
7.442623333E-1;-4.465538859E-1;2.798168361E-2;7.791221738E-1
7.542953333E-1;-3.985035121E-1;2.136652619E-1;8.443805575E-1
7.643273333E-1;-3.556873202E-1;3.098547459E-1;8.877776861E-1
7.743593333E-1;-3.025575280E-1;3.987678289E-1;9.049494863E-1
7.843923333E-1;-3.684002459E-1;4.843655825E-1;9.550888538E-1
7.944243333E-1;-5.625681281E-1;4.286551774E-1;9.443616271E-1
8.044573333E-1;-7.262796164E-1;2.008832991E-1;8.723397255E-1
8.144893333E-1;-7.343196869E-1;-1.852862537E-1;8.309206367E-1
8.245223333E-1;-5.963892341E-1;-7.055206895E-1;8.074837327E-1
8.345543333E-1;-3.686218262E-1;-1.273553252E0;7.735832930E-1
8.445873333E-1;-1.549563259E-1;-1.874108434E0;8.249645829E-1
8.546193333E-1;-6.177603453E-2;-2.688713312E0;1.067225218E0
8.646513333E-1;-1.323785782E-1;-3.689121723E0;1.563690305E0
8.746843333E-1;-2.263585925E-1;-4.408014774E0;1.873546720E0
8.847163333E-1;-3.016363084E-1;-4.698544025E0;1.847747684E0
8.947493333E-1;-3.887536228E-1;-4.470761299E0;1.636860728E0
9.047813333E-1;-4.780901372E-1;-3.723572493E0;1.416711211E0
9.148143333E-1;-5.167281032E-1;-2.850670576E0;1.266750455E0
9.248463333E-1;-5.133733749E-1;-2.007880211E0;1.208762527E0
9.348793333E-1;-4.947461784E-1;-1.318261385E0;1.308254242E0
9.449113333E-1;-4.053518176E-1;-9.739672542E-1;1.523502111E0
9.549433333E-1;-2.620010376E-1;-9.594191909E-1;1.726029158E0
9.649763333E-1;-1.039452925E-1;-1.234568477E0;1.820467234E0
9.750083333E-1;6.862328202E-2;-1.585965633E0;1.797886252E0
9.850413333E-1;2.561450601E-1;-1.949887872E0;1.721539140E0
9.950733333E-1;4.554861486E-1;-2.137233496E0;1.634430647E0
1.005106333E0;6.089042425E-1;-1.975824594E0;1.540398717E0
1.015138333E0;7.102673054E-1;-1.644446611E0;1.401898623E0
1.025170333E0;7.856059074E-1;-1.399545431E0;1.263746142E0
1.035203333E0;8.529478908E-1;-1.377352476E0;1.158140659E0
1.045235333E0;9.211377501E-1;-1.418667674E0;1.116345286E0
1.055268333E0;9.628489614E-1;-1.502990961E0;1.106598854E0
1.065300333E0;9.262109995E-1;-1.536242485E0;1.052343011E0
1.075333333E0;8.035524487E-1;-1.571089864E0;9.340861440E-1
1.085365333E0;6.383970976E-1;-1.637073398E0;9.519515634E-1
1.095398333E0;4.285623133E-1;-1.599171758E0;1.106128812E0
1.105430333E0;1.698696762E-1;-1.493796468E0;1.295044541E0
1.115462333E0;-7.423780859E-2;-1.391670346E0;1.406473875E0
1.125495333E0;-2.043867558E-1;-1.446494460E0;1.408144236E0
1.135527333E0;-2.389465868E-1;-1.680294752E0;1.383650541E0
1.145560333E0;-2.955893874E-1;-1.839364290E0;1.315753698E0
1.155592333E0;-3.939974606E-1;-1.827243209E0;1.216466546E0
1.165625333E0;-5.101404786E-1;-1.634779572E0;1.150313616E0
1.175657333E0;-6.343033910E-1;-1.404171109E0;1.249378920E0
1.185690333E0;-7.228903770E-1;-1.233867168E0;1.475871563E0
1.195722333E0;-7.989910245E-1;-1.364825368E0;1.676246285E0
1.205754333E0;-8.731333017E-1;-1.790004492E0;1.750219584E0
