"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
2.192625000E-2;-2.541270455E-1;-1.071803400E0;2.212832571E0
3.195925000E-2;-1.643465574E-1;-1.025361305E0;3.438883765E0
4.199125000E-2;1.174609146E-1;-9.381951070E-1;3.857501137E0
5.202425000E-2;3.937274919E-1;-7.268860888E-1;3.588601722E0
6.205625000E-2;7.265915354E-1;-3.622543055E-1;3.055546739E0
7.208925000E-2;1.012894091E0;-4.149798185E-2;2.495305712E0
8.212125000E-2;1.189436150E0;1.133251789E-1;1.948555380E0
9.215325000E-2;1.168836774E0;1.378522021E-1;1.241957375E0
1.021862500E-1;1.038646617E0;-4.622019321E-2;3.984450620E-1
1.122182500E-1;8.146326229E-1;-2.994712892E-1;-3.264243221E-1
1.222512500E-1;6.407216652E-1;-3.178707227E-1;-6.763819331E-1
1.322832500E-1;4.438984660E-1;-3.141916546E-1;-8.810800892E-1
1.423162500E-1;2.008647215E-1;-5.697313508E-1;-1.114568181E0
1.523482500E-1;1.982287419E-2;-9.884609887E-1;-1.286383350E0
1.623802500E-1;-3.922819323E-2;-1.239844776E0;-1.260517023E0
1.724132500E-1;2.426133342E-2;-1.283507982E0;-1.292560349E0
1.824452500E-1;1.243591033E-1;-1.206191711E0;-1.741681475E0
1.924782500E-1;1.835062203E-1;-1.088013636E0;-2.356793359E0
2.025102500E-1;1.843894240E-1;-8.794107091E-1;-2.724351089E0
2.125432500E-1;2.247290541E-1;-5.519143000E-1;-2.560225593E0
2.225752500E-1;2.060249076E-1;-3.793223280E-1;-2.436327186E0
2.326082500E-1;1.858040847E-1;-3.869669777E-1;-2.552876812E0
2.426402500E-1;4.548658691E-2;-3.584147313E-1;-2.840828210E0
2.526722500E-1;-2.586525711E-1;-2.419034046E-1;-2.964519625E0
2.627053333E-1;-3.569468975E-1;-6.565370679E-2;-2.753988871E0
2.727373333E-1;-2.397845746E-1;3.850391507E-2;-2.420395278E0
2.827703333E-1;-8.369521759E-3;1.303803375E-1;-2.096698097E0
2.928023333E-1;1.372184918E-1;2.382874864E-1;-1.848715927E0
3.028353333E-1;1.970170892E-1;3.662081927E-1;-1.560875042E0
3.128673333E-1;1.569846206E-1;4.944633597E-1;-1.425350032E0
3.229003333E-1;7.757014956E-2;6.942671040E-1;-1.570663281E0
3.329323333E-1;-1.164613696E-1;1.018214546E0;-1.898355864E0
3.429643333E-1;-2.854646496E-1;1.346589499E0;-2.127935092E0
3.529973333E-1;-3.115289788E-1;1.535568000E0;-1.928873652E0
3.630293333E-1;-2.291929465E-1;1.292851248E0;-1.508479897E0
3.730623333E-1;-4.265905615E-1;1.082829494E0;-1.008053547E0
3.830943333E-1;-4.576427118E-1;1.531899165E0;-3.967166251E-1
3.931273333E-1;-5.159154783E-1;1.610120585E0;-3.495290101E-2
4.031593333E-1;-2.565683676E-1;1.454766497E0;5.243876553E-1
4.131913333E-1;2.741521145E-1;1.321064648E0;1.328080430E0
4.232243333E-1;4.599470995E-1;1.171851014E0;1.849673116E0
4.332563333E-1;1.804577927E-1;1.018251968E0;1.931256393E0
4.432893333E-1;-4.320968114E-1;8.253222102E-1;2.288334158E0
4.533213333E-1;-1.149131073E0;5.534103101E-1;3.616112872E0
4.633543333E-1;-4.388582392E-1;5.140594259E-1;2.742747599E0
4.733863333E-1;4.034931095E-1;5.173873687E-1;1.707564141E0
4.834193333E-1;2.763389732E-1;4.674340206E-1;1.741286203E0
4.934513333E-1;1.224482971E-1;3.027588862E-1;1.363109345E0
5.034833333E-1;4.790594548E-2;2.773752460E-1;7.333080858E-1
5.135163333E-1;-4.863798764E-1;4.750359857E-1;4.705786532E-1
5.235483333E-1;-1.062483523E0;7.334443259E-1;2.027615583E-1
5.335813333E-1;-1.212861046E0;8.171732381E-1;-3.431432658E-1
5.436133333E-1;-1.178750582E0;5.186641082E-1;-8.403331822E-1
5.536463333E-1;-1.104916036E0;-2.300598693E-1;-9.267924517E-1
5.636783333E-1;-7.628558207E-1;-9.519790408E-1;-5.508597547E-1
5.737113333E-1;-1.119566381E-1;-1.650553496E0;-6.751078248E-2
5.837433333E-1;6.857535580E-1;-2.444072116E0;7.269626874E-1
5.937753333E-1;1.415883682E0;-3.026529054E0;2.760021443E0
6.038083333E-1;2.340426710E0;-3.052905259E0;3.102532625E0
6.138403333E-1;2.110936067E0;-2.723922196E0;1.866513097E0
6.238733333E-1;1.391833792E0;-2.526235144E0;1.026903800E0
6.339053333E-1;8.559209821E-1;-2.123333918E0;1.059573948E-2
6.439383333E-1;8.562226984E-1;-1.165320259E0;-3.033500397E-1
6.539703333E-1;1.391173349E0;-7.284399864E-1;7.892045438E-2
6.640033333E-1;1.294051974E0;-7.926807135E-1;2.616886282E-1
6.740353333E-1;3.290155157E-1;-1.617801487E0;-8.209549248E-1
6.840673333E-1;-1.223364984E0;-1.448959334E0;-2.030871313E0
6.941003333E-1;3.618488011E-1;-1.759112317E0;-2.460714753E0
7.041323333E-1;5.513506284E-1;-1.248460064E0;-2.343063512E0
7.141653333E-1;5.453402755E-1;-2.859765002E-1;-1.400577718E0
7.241973333E-1;6.173417196E-1;2.761863609E-1;-7.942284715E-1
7.342303333E-1;6.720558706E-1;2.117427354E-1;-3.762852842E-1
7.442623333E-1;3.213214570E-1;1.420626359E-1;-4.098284215E-1
7.542953333E-1;-1.076144958E-1;1.854757270E-1;-7.255429834E-1
7.643273333E-1;-6.568311828E-1;5.553267351E-1;-9.362111467E-1
7.743593333E-1;-8.105468810E-1;1.089283213E0;-7.486581963E-1
7.843923333E-1;-7.799735445E-1;1.525365486E0;-1.072572894E0
7.944243333E-1;-9.893102968E-1;1.767768681E0;-2.169535108E0
8.044573333E-1;-9.979866877E-1;1.781600855E0;-2.692272094E0
8.144893333E-1;-9.450658777E-1;1.885667991E0;-2.282612658E0
8.245223333E-1;-1.069094385E0;1.946479472E0;-1.600015719E0
8.345543333E-1;-1.113891073E0;1.793612059E0;-1.021274686E0
8.445873333E-1;-1.231999567E0;1.301189670E0;-5.790626299E-1
8.546193333E-1;-1.561654476E0;6.721899180E-1;-9.209253556E-1
8.646513333E-1;-1.857760985E0;6.235551171E-2;-1.301210720E0
8.746843333E-1;-1.663808842E0;-2.716476790E-1;-1.329933413E0
8.847163333E-1;-1.009498394E0;-2.263112193E-1;-1.246080247E0
8.947493333E-1;-6.085261649E-1;2.401452199E-1;-1.267543037E0
9.047813333E-1;-2.917140806E-1;7.755119728E-1;-8.472972161E-1
9.148143333E-1;-1.562685925E-1;9.928278355E-1;-1.238908052E-1
9.248463333E-1;1.330551463E-1;6.545212403E-1;5.130113125E-1
9.348793333E-1;3.594265920E-1;-7.601619719E-2;1.049870494E0
9.449113333E-1;2.564729118E-1;-6.776140145E-1;1.208766825E0
9.549433333E-1;3.806584167E-1;-8.938206605E-1;1.474554352E0
9.649763333E-1;7.277707726E-1;-8.411269417E-1;1.314027817E0
9.750083333E-1;9.174386609E-1;-6.532992453E-1;1.154678326E0
9.850413333E-1;9.579054862E-1;-5.295840393E-1;1.291109070E0
9.950733333E-1;9.555291778E-1;-5.180793501E-1;1.486093247E0
1.005106333E0;8.286785120E-1;-4.864020959E-1;1.888978685E0
1.015138333E0;9.051530761E-1;-5.712301384E-1;1.984525697E0
1.025170333E0;1.013739964E0;-8.542356683E-1;1.863665503E0
1.035203333E0;8.980083632E-1;-1.269434319E0;1.487953246E0
1.045235333E0;6.195312095E-1;-1.629455134E0;1.373022130E0
1.055268333E0;1.497436845E-1;-1.631859071E0;1.709652182E0
1.065300333E0;-2.050928432E-1;-1.202147850E0;1.507995163E0
1.075333333E0;3.263371986E-1;-7.170144539E-1;8.822179574E-1
1.085365333E0;8.709427714E-1;-6.077029500E-1;6.198387730E-1
1.095398333E0;2.715487880E-1;-9.061677872E-1;5.710285556E-1
1.105430333E0;-7.717155218E-2;-1.460899934E0;3.018432122E-1
1.115462333E0;-3.119062704E-1;-1.713725206E0;-9.918047190E-2
1.125495333E0;1.875593823E-1;-1.864562320E0;1.038366097E-1
1.135527333E0;1.818513304E-1;-1.678488861E0;1.000660912E0
1.145560333E0;-1.470457792E-1;-1.214448126E0;1.159965379E0
1.155592333E0;-1.931563371E-1;-9.153598295E-1;6.904190513E-1
1.165625333E0;-7.931455672E-2;-8.938615179E-1;4.320042792E-1
1.175657333E0;-2.888138616E-1;-8.751200223E-1;3.768322912E-1
1.185690333E0;-9.056044811E-1;-8.404074419E-1;2.391949743E-1
1.195722333E0;-1.291193270E0;-7.128248508E-1;1.348540422E-1
1.205754333E0;-1.118896290E0;-5.018864000E-1;-3.208849624E-1
1.215787333E0;-8.944187576E-1;-3.493714276E-1;-6.458141515E-1
1.225819333E0;-8.456360221E-1;-3.046042675E-1;-6.796271378E-1
1.235852333E0;-4.528305995E-1;6.131156445E-2;-2.951332399E-1
1.245884333E0;5.274890184E-2;6.987393469E-1;-2.137359050E-1
1.255917083E0;4.276127279E-2;9.070525441E-1;-2.800425996E-1
1.265949083E0;-5.132837927E-1;1.017082525E0;-5.434829805E-1
1.275981083E0;-1.076646649E0;1.176386114E0;-7.403924992E-1
1.286014083E0;-1.246567320E0;1.078056120E0;-7.601905867E-1
1.296046083E0;-1.705878389E0;9.636822429E-1;-2.696443133E-1
1.306079083E0;-2.321427060E0;9.651659739E-1;3.765905088E-1
1.316111083E0;-2.275874326E0;1.128114133E0;9.032498074E-1
1.326144083E0;-1.811527051E0;1.410370927E0;1.153991278E0
1.336176083E0;-1.403914724E0;1.750008495E0;1.075607014E0
1.346209083E0;-1.214366704E0;1.959659827E0;8.055323088E-1
1.356241083E0;-1.305392064E0;2.211426315E0;3.005481271E-1
1.366273083E0;-1.224017533E0;2.499958926E0;-4.568113840E-1
1.376306083E0;-6.723654807E-1;2.462637318E0;-1.137368887E0
1.386338083E0;-2.925736213E-1;2.423401916E0;-1.350851827E0
1.396371083E0;-8.106404364E-2;2.784935845E0;-1.401627878E0
1.406403083E0;5.705408978E-1;3.033081737E0;-1.579660684E0
1.416436083E0;9.067014188E-1;2.880036714E0;-1.709108391E0
1.426468083E0;6.883377349E-1;2.447170263E0;-1.843283279E0
1.436500083E0;4.509349322E-1;1.702599855E0;-1.980628527E0
1.446533083E0;6.128583670E-1;9.904429024E-1;-2.040540268E0
1.456565083E0;9.860066199E-1;2.237729430E-1;-2.025412352E0
1.466598083E0;1.163013532E0;-5.320176870E-1;-1.938751938E0
1.476630083E0;1.168130431E0;-1.224573603E0;-1.645695337E0
1.486663083E0;1.391542016E0;-1.604637943E0;-1.206288775E0
1.496695083E0;1.794895815E0;-1.623930831E0;-7.011244261E-1
1.506728083E0;2.080367993E0;-1.203877383E0;-3.939257491E-1
1.516760083E0;2.341081890E0;-7.081036627E-1;-1.470925570E-1
1.526792083E0;2.860785341E0;-7.402499002E-1;1.772967879E-1
1.536825083E0;3.199656047E0;-1.047302982E0;2.553096668E0
1.546857083E0;3.227788171E0;-1.266085911E0;4.542094899E0
1.556890083E0;4.013027133E0;-2.632066239E0;7.179293239E-1
1.566922083E0;3.610802431E0;-2.719193260E0;-1.000843053E-1
1.576955083E0;3.041656678E0;-2.445741788E0;-1.787552297E-1
1.586987083E0;3.508003117E0;-3.188417113E0;-9.245653935E-1
1.597019083E0;3.297357758E0;-3.453149217E0;-5.504580510E-1
1.607052083E0;2.882969677E0;-3.470165200E0;2.419612189E-1
1.617084083E0;2.442652704E0;-3.572514278E0;7.394940014E-1
1.627117083E0;1.919274863E0;-3.317933525E0;1.184382840E0
1.637149083E0;1.469516391E0;-2.761520085E0;1.263259367E0
1.647182083E0;1.491532912E0;-2.236155944E0;1.285095209E0
1.657214083E0;1.397893261E0;-1.757777690E0;1.229042630E0
1.667247083E0;8.252362561E-1;-1.212628911E0;9.473810828E-1
1.677279083E0;3.493027228E-1;-6.384598160E-1;7.292319918E-1
1.687311083E0;7.845647782E-2;-2.120089298E-1;4.562290013E-1
1.697344083E0;-4.309693220E-1;9.611068368E-3;3.412733263E-1
1.707376083E0;-8.013764003E-1;1.686132342E-1;4.358608103E-1
1.717409083E0;-7.678370637E-1;5.083820719E-1;5.989823760E-1
1.727441083E0;-6.975283885E-1;1.007188159E0;6.423757694E-1
1.737474083E0;-8.188098738E-1;1.476927152E0;3.819208306E-1
1.747506083E0;-9.879113504E-1;1.942780670E0;6.444099426E-2
1.757538083E0;-1.053204576E0;2.315141303E0;-1.956384802E-1
1.767571083E0;-1.090927011E0;2.529278619E0;-2.693409524E-1
1.777603083E0;-8.392090550E-1;2.710782625E0;4.984020442E-3
1.787636083E0;-5.787673455E-1;2.879696406E0;2.747658529E-1
1.797668083E0;-5.933350986E-1;2.829829597E0;2.575884875E-1
1.807701083E0;-8.594319427E-1;2.742214918E0;1.573555899E-1
1.817733083E0;-1.177637711E0;2.726512805E0;1.906987524E-1
1.827765083E0;-1.198733588E0;2.924214767E0;1.738172561E-1
1.837798083E0;-1.038366097E0;3.110899406E0;-8.734117582E-2
1.847830083E0;-6.756434298E-1;3.039666871E0;-3.484121919E-1
1.857863083E0;-1.994128579E-1;2.872746406E0;-6.539759874E-1
1.867895083E0;9.179163784E-2;2.713250735E0;-9.547994453E-1
1.877928083E0;3.697097978E-1;2.570847645E0;-1.427003186E0
1.887960083E0;7.080142003E-1;2.423049329E0;-1.809569549E0
1.897992083E0;8.886864397E-1;2.018016794E0;-2.341239181E0
1.908025083E0;8.991778064E-1;1.136458987E0;-2.885009771E0
1.918057083E0;4.621706495E-1;1.764566892E-1;-3.034155870E0
1.928090083E0;-1.890755653E-2;-4.975582910E-1;-3.091565003E0
1.938122083E0;-4.252048445E-1;-1.027554011E0;-3.304147545E0
1.948155083E0;-1.182633572E0;-1.473858533E0;-3.492339596E0
1.958187083E0;-1.736065224E0;-1.955977836E0;-3.465616651E0
1.968220083E0;-1.356692318E0;-2.289215333E0;-3.129008818E0
1.978252083E0;-5.748348007E-1;-2.090493032E0;-2.518361283E0
1.988284083E0;7.960107028E-3;-1.924118696E0;-2.045732596E0
1.998317083E0;3.260115087E-3;-2.095322832E0;-1.743796413E0
2.008349083E0;-1.623149058E-1;-2.318651386E0;-1.222152417E0
2.018382083E0;-1.766671890E-1;-2.528466441E0;-5.037651835E-1
2.028414083E0;-3.975054145E-2;-2.742330108E0;4.417390893E-1
2.038447083E0;2.053650311E-1;-2.759113955E0;1.399407690E0
2.048479083E0;7.575722766E-1;-2.532237310E0;2.174079564E0
2.058511083E0;1.488612812E0;-2.366501491E0;2.478908365E0
2.068544083E0;2.255224299E0;-2.568757850E0;2.555843689E0
2.078576083E0;2.911628051E0;-2.655530530E0;3.250291765E0
2.088609083E0;2.951959805E0;-2.465186704E0;3.634336889E0
2.098641083E0;2.744186891E0;-2.482433651E0;3.257527694E0
2.108674083E0;2.570837997E0;-2.394278689E0;2.804609386E0
2.118706083E0;2.387717821E0;-2.142680601E0;2.570399163E0
2.128738083E0;2.140043214E0;-2.007805801E0;2.485687627E0
2.138771083E0;1.797332350E0;-1.912220782E0;2.544663813E0
2.148803083E0;1.290067389E0;-1.625206109E0;2.392116389E0
2.158836083E0;7.442625520E-1;-1.328309641E0;2.124890447E0
2.168868083E0;-7.161085010E-3;-1.189434176E0;1.925178797E0
2.178901083E0;-7.153588879E-1;-1.317046149E0;1.702277673E0
2.188933083E0;-8.005421488E-1;-1.371079100E0;1.838414887E0
2.198966083E0;-7.339161962E-1;-1.430417814E0;1.708472214E0
2.208998083E0;-6.755307247E-1;-1.928521065E0;1.502548335E0
2.219030083E0;-1.295925276E0;-1.221930077E0;6.281576067E-1
2.229063083E0;-1.483194344E0;-1.207330164E0;-3.936519532E-1
2.239095083E0;-1.658486706E0;-1.111176796E0;-8.490467030E-1
2.249128083E0;-2.166862638E0;-1.316146848E0;-5.859921652E-1
2.259160750E0;-2.045356328E0;-9.136186749E-1;-6.103104427E-2
2.269193750E0;-1.563452641E0;-7.982098407E-1;1.945039742E-1
2.279225750E0;-1.047246556E0;-2.603560477E-1;-3.168079913E-1
2.289257750E0;-1.466234641E-1;4.847792011E-1;-1.221608042E0
2.299290750E0;6.475797182E-1;9.165183091E-1;-1.725790497E0
2.309322750E0;1.046542405E0;1.183482880E0;-1.991923155E0
2.319355750E0;1.342336088E0;1.261726812E0;-2.060737282E0
2.329387750E0;1.795209665E0;1.367625734E0;-1.941976824E0
2.339420750E0;2.277174747E0;1.804036767E0;-2.141550042E0
2.349452750E0;2.388527368E0;2.113786585E0;-2.191602500E0
2.359484750E0;2.033150850E0;2.089469184E0;-1.970546173E0
2.369517750E0;1.678195185E0;2.022277660E0;-1.220865299E0
2.379549750E0;1.953048965E0;2.344648692E0;-1.274556918E0
2.389582750E0;1.700409927E0;2.910585492E0;-2.171388091E0
2.399614750E0;1.128700463E0;3.429231766E0;-3.030162807E0
2.409647750E0;7.196541063E-1;3.982488295E0;-4.110781761E0
2.419679750E0;5.017418276E-1;3.965204510E0;-4.827492818E0
2.429711750E0;-2.800258181E0;3.020497359E0;-6.375996906E0
2.439744750E0;-1.870305163E0;3.900085824E0;-4.208703912E0
2.449776750E0;5.394060825E-1;4.880245813E0;-4.491845098E0
